SYMBOL,logFC,logCPM,F,PValue,FDR
HAUS3,-35.82748649985949,7.987144445133904,14630.012097165836,2.327530704664116e-55,7.796110731951802e-52
MRPS25,-35.07635694503152,8.250539435934577,14628.971608485657,2.3310242882200037e-55,7.796110731951802e-52
CMC2,-36.091874428648815,7.859592899153262,14059.23855962475,5.38693411440097e-55,1.2011067430409362e-51
PIGM,-40.54714179050993,6.370677198518733,13179.88420279667,2.1025600681247077e-54,3.5160060739215425e-51
MAP3K3,-39.48204612666671,6.821808538825872,12669.560016616326,4.83369945404532e-54,6.20108719106405e-51
CRIPT,-33.93153110062903,8.595871352834012,12585.44788485411,5.562344617489057e-54,6.20108719106405e-51
DELE1,-37.84711324700047,7.294354054793709,11721.69294009605,2.489169823757864e-53,2.378579564445193e-50
PDE12,-35.9143097273177,8.034006099692698,11398.643239737552,4.485550340063186e-53,3.303325248855145e-50
SMIM7,-37.69345837227458,7.380355974036084,11316.686882497756,5.222157801533366e-53,3.303325248855145e-50
ZNF558,-39.46259856637112,6.81644308923248,11311.334686572563,5.2744714646188465e-53,3.303325248855145e-50
ZNF616,-40.559193041460496,6.484423915688262,11295.51909838799,5.432288494155568e-53,3.303325248855145e-50
HNRNPL,-32.995525795014046,8.943500339341274,11216.784936420105,6.294929681165506e-53,3.346169680350752e-50
MED9,-36.58851475415552,7.694068807316649,11199.466609112003,6.5032450059141535e-53,3.346169680350752e-50
ZNF439,-38.0348136518239,7.265031164211528,11012.214296602071,9.27716443471687e-53,4.431678210221792e-50
ZSWIM5,-39.93786452048352,6.6298033820067745,10947.474127993486,1.0504276262973665e-52,4.431678210221792e-50
ZNF234,-39.58832859121825,6.823297487111937,10942.736117558155,1.060051597601266e-52,4.431678210221792e-50
ZNF546,-37.79657212418263,7.381774890834313,10821.784281611986,1.3397469032449066e-52,5.271510021061871e-50
CA13,-43.02938280475663,5.7333610475262224,10699.270949598731,1.702912509171913e-52,6.328212096583847e-50
ZNF543,-39.27199279861011,6.862501833683787,10628.699780877152,1.957661855272658e-52,6.892000078904635e-50
GATAD1,-35.13421009020068,8.19781292739398,10556.042728409511,2.2619989036661993e-52,7.565255333311603e-50
ALG11,-32.311897304481874,9.205700562361399,10236.349060449982,4.3234066248920975e-52,1.3771079482811066e-49
TANGO6,-37.07142498315863,7.678637444774673,10179.576636665992,4.86071427562557e-52,1.4778780813481563e-49
LLPH,-37.45072101772645,7.491648638237184,10095.446692577745,5.7891036290046816e-52,1.6836223554092311e-49
DCP1A,-37.997431693594784,7.2320134650168475,10024.170499685511,6.720771417096548e-52,1.8731350003732834e-49
WHAMM,-38.60648790896759,7.0400770151412315,9822.724899083301,1.0306123493089946e-51,2.757506401811146e-49
LOC344065,-41.291184819273106,6.3033146578287464,9749.047270860465,1.2076858789717192e-51,3.1070041709391652e-49
C11orf1,-41.028692282336,6.19350083616657,9700.313743666791,1.3421015002126974e-51,3.3249321981195305e-49
SMIM12,-36.91285421965329,7.612327036830976,9678.069558149547,1.408578761136501e-51,3.364994047586448e-49
TRIM52,-36.5682650450489,7.667745642599913,9638.263409072082,1.536290900148177e-51,3.543534424514192e-49
RBM15B,-38.279565145823824,7.2103859732847075,9597.909461256384,1.678197390103397e-51,3.596469122959811e-49
EIF1AD,-39.74267707352692,6.646183782083378,9593.043815510002,1.6962125478842132e-51,3.596469122959811e-49
CCDC127,-36.14439282409785,7.873855733224358,9586.558144585973,1.7205413654464637e-51,3.596469122959811e-49
RNF115,-31.73047200079285,9.405125981961314,9449.134549342118,2.3318645863554454e-51,4.726618853979265e-49
KAT6B,-31.447798272231537,9.426964817762483,9387.224472524576,2.678016007195642e-51,5.268602668274015e-49
ZNF212,-44.45528041943537,5.123071147883777,9304.945642749555,3.2233927372414826e-51,6.1252918699623445e-49
PDP2,-36.62722787571371,7.64193671897573,9294.711305802712,3.2989507017329735e-51,6.1252918699623445e-49
PM20D2,-39.067079062002115,6.907637748542403,9282.935877923668,3.3881865628435754e-51,6.1252918699623445e-49
