Source,Target,Similarity,SourceSignature,SourceCellLine,SourceTime,TargetSignature,TargetCellLine,TargetConcentration,TargetTime
AI_medication,MLS-0390851.0001,-0.99611133,InputSig,NA,NA,LINCSCP_45414,PC3,10uM,6h
AI_medication,Ginkgolide B,-0.99531854,InputSig,NA,NA,LINCSCP_108430,HELA,0.04uM,24h
AI_medication,SCHEMBL16226068,-0.99457861,InputSig,NA,NA,LINCSCP_64548,VCAP,20uM,6h
AI_medication,Bitopertin,-0.99328727000000006,InputSig,NA,NA,LINCSCP_169723,YAPC,3.33uM,24h
AI_medication,Quizartinib,-0.99258456,InputSig,NA,NA,LINCSCP_51751,SKBR3,0.1uM,6h
AI_medication,Simeprevir,-0.99245856,InputSig,NA,NA,LINCSCP_109109,HELA,1.11uM,24h
AI_medication,C.I. MORDANT BLACK 11,-0.99238538,InputSig,NA,NA,LINCSCP_33345,MCF7,10uM,24h
AI_medication,Indigo Red,-0.99225236000000006,InputSig,NA,NA,LINCSCP_31797,MCF7,10uM,6h
AI_medication,SB-216763,-0.99222977,InputSig,NA,NA,LINCSCP_88306,HA1E,3.33uM,24h
AI_medication,Rimcazole,-0.99218664,InputSig,NA,NA,LINCSCP_22233,HEPG2,10uM,6h
AI_medication,MLS000534605,-0.99211582,InputSig,NA,NA,LINCSCP_32066,MCF7,10uM,6h
AI_medication,MLS000860958,-0.9919743,InputSig,NA,NA,LINCSCP_2010,A375,10uM,6h
AI_medication,Bisoprolol,-0.99160104,InputSig,NA,NA,LINCSCP_98032,HA1E,3.33uM,24h
AI_medication,BSPBIO_002280,-0.99138021,InputSig,NA,NA,LINCSCP_14852,HA1E,10uM,6h
AI_medication,Mepireserpate,-0.9913465,InputSig,NA,NA,LINCSCP_25242,HT29,10uM,24h
AI_medication,MK-8033,-0.99131935,InputSig,NA,NA,LINCSCP_106010,HELA,0.04uM,24h
AI_medication,Lapatinib,-0.99092953,InputSig,NA,NA,LINCSCP_131770,MCF10A,0.12uM,3h
AI_medication,SCHEMBL16980376,-0.99063406,InputSig,NA,NA,LINCSCP_28827,HUH7,3uM,24h
AI_medication,Imiquimod,-0.99050459,InputSig,NA,NA,LINCSCP_166399,YAPC,0.04uM,24h
AI_medication,TAK-715,-0.99046267,InputSig,NA,NA,LINCSCP_83750,ASC.C,0.12uM,24h
AI_medication,Gemcitabine,-0.98995268,InputSig,NA,NA,LINCSCP_49780,PC3,10uM,6h
AI_medication,BRD-K93339435,-0.98977166,InputSig,NA,NA,LINCSCP_8701,A549,5uM,24h
AI_medication,AC1O9B1U,-0.98957927,InputSig,NA,NA,LINCSCP_203221,ASC,10uM,24h
AI_medication,"3,5-Bis(4-methylbenzylidene)piperidin-4-one",-0.98952604,InputSig,NA,NA,LINCSCP_35833,MCF7,1uM,6h
AI_medication,Vorinostat,-0.98923851,InputSig,NA,NA,LINCSCP_67436,MCF7,0.5uM,24h
AI_medication,THZ-2-98-01,-0.98923603,InputSig,NA,NA,LINCSCP_38999,MDAMB231,1uM,24h
AI_medication,CP-724714,-0.98857271,InputSig,NA,NA,LINCSCP_6205,A549,10uM,24h
AI_medication,Apafant,-0.98835162,InputSig,NA,NA,LINCSCP_120976,HT29,0.04uM,24h
AI_medication,Xanthohumol,-0.98755857,InputSig,NA,NA,LINCSCP_32746,MCF7,10uM,6h
AI_medication,Dopamine,-0.98735742,InputSig,NA,NA,LINCSCP_157338,PC3,3.33uM,24h
AI_medication,BRD-K45735142,-0.98730621,InputSig,NA,NA,LINCSCP_271774,PC3,10uM,6h
AI_medication,Auranofin,-0.98722662,InputSig,NA,NA,LINCSCP_12687,COV644,10uM,6h
AI_medication,Dequalinium,-0.98720796,InputSig,NA,NA,LINCSCP_79847,A375,1.11uM,24h
AI_medication,WH-4-023,-0.98720787,InputSig,NA,NA,LINCSCP_24539,HS578T,10uM,6h
AI_medication,GSK-1070916,-0.98711207,InputSig,NA,NA,LINCSCP_24509,HS578T,10uM,6h
AI_medication,AKT Inhibitor IV,-0.98685162,InputSig,NA,NA,LINCSCP_50949,RMGI,10uM,6h
AI_medication,MST-312,-0.98635418,InputSig,NA,NA,LINCSCP_29124,JHUEM2,10uM,6h
