Source,Target,Similarity,SourceSignature,SourceCellLine,SourceTime,TargetSignature,TargetCellLine,TargetConcentration,TargetTime
OFC_overall,SU-11652,-0.94162861,InputSig,NA,NA,LINCSCP_51173,RMUGS,10uM,6h
OFC_overall,AK-778/12434114,-0.93737415,InputSig,NA,NA,LINCSCP_2309,A375,10uM,6h
OFC_overall,Tyrphostin 25,-0.93424684,InputSig,NA,NA,LINCSCP_42618,NPC,10uM,24h
OFC_overall,Withaferin A,-0.92959146,InputSig,NA,NA,LINCSCP_245123,MCF7,10uM,6h
OFC_overall,Trapidil,-0.92812224,InputSig,NA,NA,LINCSCP_262460,NPC,10uM,24h
OFC_overall,AC1MJFJP,-0.92671325,InputSig,NA,NA,LINCSCP_50404,PHH,3uM,6h
OFC_overall,I-BET151,-0.9247657,InputSig,NA,NA,LINCSCP_112473,HEPG2,10uM,24h
OFC_overall,BRD-K00689442,-0.92341663,InputSig,NA,NA,LINCSCP_59946,VCAP,5uM,6h
OFC_overall,BS-181,-0.92195819,InputSig,NA,NA,LINCSCP_100390,HCC515,10uM,24h
OFC_overall,SCHEMBL618594,-0.92153529,InputSig,NA,NA,LINCSCP_70034,A375,3.33uM,24h
OFC_overall,BRD-K01425431,-0.92042664,InputSig,NA,NA,LINCSCP_145495,MDAMB231,0.04uM,24h
OFC_overall,SCHEMBL3954849,-0.91699165,InputSig,NA,NA,LINCSCP_144950,MDAMB231,0.04uM,3h
OFC_overall,Narciclasine,-0.91642772,InputSig,NA,NA,LINCSCP_39851,NCIH1694,10uM,6h
OFC_overall,BRD-K50521229,-0.91636204,InputSig,NA,NA,LINCSCP_34036,MCF7,10uM,6h
OFC_overall,Hydroxycholesterol,-0.91485038,InputSig,NA,NA,LINCSCP_10979,ASC,10uM,24h
OFC_overall,Methylnaltrexone (Bromide),-0.91484008000000006,InputSig,NA,NA,LINCSCP_71921,A375,10uM,24h
OFC_overall,BRD-K75693278,-0.91388211,InputSig,NA,NA,LINCSCP_63526,VCAP,5uM,24h
OFC_overall,Tesmilifene,-0.9116695,InputSig,NA,NA,LINCSCP_262403,NPC,10uM,24h
OFC_overall,Deferasirox,-0.91095173,InputSig,NA,NA,LINCSCP_99281,HA1E,0.04uM,24h
OFC_overall,Rita,-0.91069596,InputSig,NA,NA,LINCSCP_29105,JHUEM2,10uM,6h
OFC_overall,MLS002264433,-0.91029953,InputSig,NA,NA,LINCSCP_21842,HEPG2,10uM,6h
OFC_overall,XMD-1499,-0.91012452,InputSig,NA,NA,LINCSCP_20545,HCC515,10uM,6h
OFC_overall,Tamatinib,-0.91009067,InputSig,NA,NA,LINCSCP_145331,MDAMB231,0.37uM,24h
OFC_overall,Guggulsterone,-0.90988858,InputSig,NA,NA,LINCSCP_42614,NPC,10uM,24h
OFC_overall,Amiodarone,-0.90889781,InputSig,NA,NA,LINCSCP_41502,NEU,10uM,6h
OFC_overall,PF477736,-0.90757091,InputSig,NA,NA,LINCSCP_69175,A375,0.12uM,24h
OFC_overall,HMN-214,-0.90578802,InputSig,NA,NA,LINCSCP_70597,A375,3.33uM,24h
OFC_overall,Lidoflazine,-0.90470219,InputSig,NA,NA,LINCSCP_42649,NPC,10uM,24h
OFC_overall,Aurora A Inhibitor I,-0.90458359,InputSig,NA,NA,LINCSCP_22562,HEPG2,10uM,6h
OFC_overall,SCHEMBL1564574,-0.90453093,InputSig,NA,NA,LINCSCP_111785,HEPG2,0.12uM,24h
OFC_overall,Canertinib,-0.90448308,InputSig,NA,NA,LINCSCP_22557,HEPG2,10uM,6h
OFC_overall,GW620972X,-0.90425951,InputSig,NA,NA,LINCSCP_70683,A375,0.37uM,24h
OFC_overall,Quizartinib,-0.90390675,InputSig,NA,NA,LINCSCP_20532,HCC515,10uM,6h
OFC_overall,BRD-A24396574-001-01-5,-0.90357281,InputSig,NA,NA,LINCSCP_145765,MDAMB231,10uM,3h
OFC_overall,Dasatinib,-0.90290288,InputSig,NA,NA,LINCSCP_129898,LNCAP,0.37uM,24h
OFC_overall,TG 100801,-0.90279573,InputSig,NA,NA,LINCSCP_74283,A375,0.12uM,24h
OFC_overall,YC1,-0.90169012,InputSig,NA,NA,LINCSCP_284752,SKB,10uM,24h
OFC_overall,Apigenin,-0.90128248,InputSig,NA,NA,LINCSCP_42372,NPC,10uM,24h
OFC_overall,BRD-A52933579,-0.90102199,InputSig,NA,NA,LINCSCP_41262,NEU,10uM,6h
OFC_overall,Anisomycin,-0.90094761,InputSig,NA,NA,LINCSCP_41024,NEU,10uM,24h
OFC_overall,Rigosertib,-0.90059673,InputSig,NA,NA,LINCSCP_70570,A375,0.12uM,24h
OFC_overall,BIX01294,-0.90058012,InputSig,NA,NA,LINCSCP_41185,NEU,10uM,24h
OFC_overall,SAN1_014122,-0.89932266,InputSig,NA,NA,LINCSCP_10860,ASC,10uM,24h
OFC_overall,79966-13-5,-0.89930707,InputSig,NA,NA,LINCSCP_53838,SNUC4,10uM,6h
OFC_overall,CDK9 Inhibitor,-0.89911443,InputSig,NA,NA,LINCSCP_69879,A375,0.37uM,24h
OFC_overall,Melperone,-0.89894702,InputSig,NA,NA,LINCSCP_42684,NPC,10uM,24h
OFC_overall,Ruxolitinib,-0.89866509000000006,InputSig,NA,NA,LINCSCP_11047,ASC,10uM,24h
OFC_overall,CDK4 Inhibitor III,-0.89848363,InputSig,NA,NA,LINCSCP_22883,HEPG2,10uM,6h
OFC_overall,U 46619,-0.89847385,InputSig,NA,NA,LINCSCP_7582,A549,10uM,24h
OFC_overall,Phosphomevalonic acid,-0.89827166,InputSig,NA,NA,LINCSCP_43277,NPC,10uM,6h
OFC_overall,Vorinostat,-0.89807625,InputSig,NA,NA,LINCSCP_112253,HEPG2,10uM,24h
OFC_overall,Auranofin,-0.89785021,InputSig,NA,NA,LINCSCP_51065,RMUGS,10uM,6h
OFC_overall,NSC23766,-0.89772768,InputSig,NA,NA,LINCSCP_12509,CL34,100uM,6h
OFC_overall,Cucurbitacin I,-0.89771712,InputSig,NA,NA,LINCSCP_50407,PHH,3uM,6h
OFC_overall,Calcimycin,-0.89746605,InputSig,NA,NA,LINCSCP_65032,VCAP,0.5uM,6h
OFC_overall,Mepenzolate,-0.89699938,InputSig,NA,NA,LINCSCP_47693,PC3,10uM,6h
OFC_overall,MLS002264439,-0.89697904,InputSig,NA,NA,LINCSCP_21883,HEPG2,10uM,6h
OFC_overall,AZD5363,-0.89655988,InputSig,NA,NA,LINCSCP_127205,HT29,3.33uM,24h
