Source,Target,Similarity,SourceSignature,SourceCellLine,SourceTime,TargetSignature,TargetCellLine,TargetConcentration,TargetTime
AI_Overall_Up,PRX-08066 Maleic acid,0.66085233,InputSig,NA,NA,LINCSCP_118431,HT29,10uM,24h
AI_Overall_Up,LY 2183240,0.63398864,InputSig,NA,NA,LINCSCP_57122,VCAP,10uM,6h
AI_Overall_Up,BRD-K53022123,0.6283533,InputSig,NA,NA,LINCSCP_228757,HT29,5uM,24h
AI_Overall_Up,MLS002699429,0.5944358,InputSig,NA,NA,LINCSCP_282968,RKO,40uM,6h
AI_Overall_Up,(S)-Tipifarnib,0.59048229,InputSig,NA,NA,LINCSCP_53478,SKMEL28,10uM,6h
AI_Overall_Up,CHEMBL552425,0.56839078,InputSig,NA,NA,LINCSCP_128011,HUES3,3.33uM,24h
AI_Overall_Up,AZD-2014,0.56541185,InputSig,NA,NA,LINCSCP_12970,EFO27,10uM,6h
AI_Overall_Up,Fusaric acid,0.56380486,InputSig,NA,NA,LINCSCP_7208,A549,10uM,6h
AI_Overall_Up,BRD-K96539190,0.55924488000000006,InputSig,NA,NA,LINCSCP_27458,HT29,5uM,24h
AI_Overall_Up,Verapamil,0.54099592,InputSig,NA,NA,LINCSCP_40262,NCIH596,10uM,6h
AI_Overall_Up,IN1541,0.53794113,InputSig,NA,NA,LINCSCP_40161,NCIH508,10uM,6h
AI_Overall_Up,Selumetinib,0.53480303,InputSig,NA,NA,LINCSCP_311056,VCAP,10uM,6h
AI_Overall_Up,Tacedinaline,0.52777722,InputSig,NA,NA,LINCSCP_250341,MCF7,5uM,6h
AI_Overall_Up,SCHEMBL16226502,0.52480608,InputSig,NA,NA,LINCSCP_64565,VCAP,1uM,6h
AI_Overall_Up,BIIB 021,0.52315019,InputSig,NA,NA,LINCSCP_58737,VCAP,10uM,6h
AI_Overall_Up,UNC 669,0.52312992,InputSig,NA,NA,LINCSCP_112412,HEPG2,0.04uM,24h
AI_Overall_Up,"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",0.52112163,InputSig,NA,NA,LINCSCP_294953,VCAP,10uM,6h
AI_Overall_Up,NSC23766,0.51989033,InputSig,NA,NA,LINCSCP_50727,RKO,100uM,6h
AI_Overall_Up,848193-68-0,0.51312821,InputSig,NA,NA,LINCSCP_282841,PL21,20uM,6h
AI_Overall_Up,Capsaicin,0.50994909,InputSig,NA,NA,LINCSCP_282977,RKO,100uM,6h
AI_Overall_Up,Meprylcaine,0.5050706,InputSig,NA,NA,LINCSCP_7187,A549,10uM,6h
AI_Overall_Up,CIANIDANOL,0.49103363,InputSig,NA,NA,LINCSCP_139740,MCF7,10uM,24h
AI_Overall_Up,SPOX1_000651,0.48983458,InputSig,NA,NA,LINCSCP_58583,VCAP,10uM,24h
AI_Overall_Up,"HDACi1,2+3_mix",0.48901605,InputSig,NA,NA,LINCSCP_35547,MCF7,1uM,6h
AI_Overall_Up,AC1O9CBL,0.48828015,InputSig,NA,NA,LINCSCP_58471,VCAP,10uM,6h
AI_Overall_Up,galantamine,0.48574718,InputSig,NA,NA,LINCSCP_70493,A375,0.04uM,24h
AI_Overall_Up,Glyburide,0.48416989,InputSig,NA,NA,LINCSCP_12950,EFO27,10uM,6h
AI_Overall_Up,Wortmannin,0.48265138,InputSig,NA,NA,LINCSCP_68234,SKMEL28,10uM,6h
AI_Overall_Up,SG-209,0.47648725,InputSig,NA,NA,LINCSCP_56259,VCAP,10uM,24h
AI_Overall_Up,MLN-0128,0.47598444,InputSig,NA,NA,LINCSCP_117108,HT29,0.04uM,24h
AI_Overall_Up,Withaferin A,0.47434184,InputSig,NA,NA,LINCSCP_69099,A375,10uM,24h
AI_Overall_Up,M3M3FBS,0.47205701,InputSig,NA,NA,LINCSCP_50755,RKO,80uM,6h
AI_Overall_Up,KW-2478,0.46607273,InputSig,NA,NA,LINCSCP_75478,A375,1.11uM,24h
AI_Overall_Up,Broad-Sai-424,0.46415012,InputSig,NA,NA,LINCSCP_35574,MCF7,1uM,6h
AI_Overall_Up,Disulfiram,0.45776562,InputSig,NA,NA,LINCSCP_71828,A375,0.37uM,24h
AI_Overall_Up,CHEMBL2355121,0.4542553,InputSig,NA,NA,LINCSCP_64660,VCAP,10uM,24h
AI_Overall_Up,CP-724714,0.44859869,InputSig,NA,NA,LINCSCP_87560,HA1E,0.37uM,24h
AI_Overall_Up,79966-13-5,0.44619769,InputSig,NA,NA,LINCSCP_57201,VCAP,10uM,6h
AI_Overall_Up,Vorinostat,0.4423354,InputSig,NA,NA,LINCSCP_35532,MCF7,0.5uM,24h
AI_Overall_Up,LY2157299,0.44028987,InputSig,NA,NA,LINCSCP_79871,A375,1.11uM,24h
AI_Overall_Up,BRD-K62242359,0.43762614,InputSig,NA,NA,LINCSCP_27381,HT29,5uM,24h
AI_Overall_Up,Radicicol,0.43279108,InputSig,NA,NA,LINCSCP_145858,MDAMB231,0.37uM,3h
AI_Overall_Up,CHEMBL2360495,0.43258846,InputSig,NA,NA,LINCSCP_260884,NKDBA,3uM,24h
AI_Overall_Up,STK219801,0.43232956,InputSig,NA,NA,LINCSCP_53598,SNGM,20uM,6h
AI_Overall_Up,Deoxycholic acid,0.43118862,InputSig,NA,NA,LINCSCP_106137,HELA,10uM,24h
AI_Overall_Up,Mecamylamine,0.43003188,InputSig,NA,NA,LINCSCP_72167,A375,3.33uM,24h
AI_Overall_Up,Mibefradil,0.42658355,InputSig,NA,NA,LINCSCP_52725,SKB,10uM,24h
AI_Overall_Up,BRD-K01282863,0.42481369,InputSig,NA,NA,LINCSCP_254048,MCF7,1uM,6h
AI_Overall_Up,BRD-K01621458,0.42294081,InputSig,NA,NA,LINCSCP_279669,PC3,0.5uM,24h
AI_Overall_Up,MK-2206,0.42176191,InputSig,NA,NA,LINCSCP_69426,A375,0.12uM,24h
AI_Overall_Up,SA-84869,0.42095388,InputSig,NA,NA,LINCSCP_37181,MCF7,3uM,6h
AI_Overall_Up,BRD-K18863894,0.4199549,InputSig,NA,NA,LINCSCP_310530,VCAP,10uM,6h
AI_Overall_Up,BRD-A25736793,0.41860027,InputSig,NA,NA,LINCSCP_149768,NPC.TAK,0.12uM,24h
AI_Overall_Up,Talampicillin,0.41833904,InputSig,NA,NA,LINCSCP_284569,SKB,10uM,24h
AI_Overall_Up,BRD-K66299073,0.41533241,InputSig,NA,NA,LINCSCP_63725,VCAP,5uM,24h
AI_Overall_Up,BRD-K64930062,0.41397318,InputSig,NA,NA,LINCSCP_253770,MCF7,1uM,6h
AI_Overall_Up,WZ 4002,0.41334947,InputSig,NA,NA,LINCSCP_84291,ASC,0.04uM,24h
AI_Overall_Up,AC1O9EM7,0.40968846,InputSig,NA,NA,LINCSCP_58743,VCAP,10uM,6h
AI_Overall_Up,423735-93-7,0.40839879,InputSig,NA,NA,LINCSCP_29360,LOVO,10uM,6h
AI_Overall_Up,Enzastaurin,0.40813171,InputSig,NA,NA,LINCSCP_42458,NPC,10uM,24h
AI_Overall_Up,JNJ 10191584,0.40800489,InputSig,NA,NA,LINCSCP_52735,SKB,10uM,24h
AI_Overall_Up,JW 55,0.40698229,InputSig,NA,NA,LINCSCP_150030,NPC.TAK,1.11uM,24h
AI_Overall_Up,WZ3105,0.40633232,InputSig,NA,NA,LINCSCP_132271,MCF7,3.33uM,3h
AI_Overall_Up,SA-103013,0.40600883,InputSig,NA,NA,LINCSCP_252778,MCF7,1uM,24h
AI_Overall_Up,AKOS021983165,0.40463585,InputSig,NA,NA,LINCSCP_47494,PC3,10uM,24h
AI_Overall_Up,Thalidomide,0.40444741,InputSig,NA,NA,LINCSCP_21150,HCT116,10uM,6h
AI_Overall_Up,Amodiaquine,0.4041144,InputSig,NA,NA,LINCSCP_42678,NPC,10uM,24h
AI_Overall_Up,10-DEBC,0.40394373,InputSig,NA,NA,LINCSCP_53219,SKM1,20uM,6h
AI_Overall_Up,JSH-23,0.40393826,InputSig,NA,NA,LINCSCP_53241,SKM1,5uM,6h
AI_Overall_Up,Vigabatrin,0.403037,InputSig,NA,NA,LINCSCP_272874,PC3,10uM,6h
AI_Overall_Up,Nicergoline,0.40150126,InputSig,NA,NA,LINCSCP_79407,A375,0.12uM,24h
AI_Overall_Up,PNU-74654,0.40061348,InputSig,NA,NA,LINCSCP_57111,VCAP,80uM,6h
AI_Overall_Up,SCHEMBL6851809,0.40040312,InputSig,NA,NA,LINCSCP_78236,A375,0.12uM,24h
AI_Overall_Up,5-(6-Aminopurin-9-yl)-2-methyltetrahydrofuran-3-ol,0.39992174,InputSig,NA,NA,LINCSCP_43698,OV7,10uM,6h
AI_Overall_Up,SCHEMBL16892136,0.39638881,InputSig,NA,NA,LINCSCP_279702,PC3,0.5uM,24h
AI_Overall_Up,Teniposide,0.39602017,InputSig,NA,NA,LINCSCP_29266,LOVO,1uM,6h
AI_Overall_Up,ST072947,0.39594005,InputSig,NA,NA,LINCSCP_58708,VCAP,10uM,6h
AI_Overall_Up,CHEMBL1515648,0.39449135,InputSig,NA,NA,LINCSCP_216586,HCC515,10uM,6h
AI_Overall_Up,Cadmium Dichloride,0.39446014,InputSig,NA,NA,LINCSCP_17088,HA1E,20uM,24h
AI_Overall_Up,AKT Inhibitor IV,0.39438031,InputSig,NA,NA,LINCSCP_57105,VCAP,10uM,6h
AI_Overall_Up,AMBCB17415880,0.39182247,InputSig,NA,NA,LINCSCP_23122,HEPG2,10uM,6h
AI_Overall_Up,BRD-K34974324,0.39169021,InputSig,NA,NA,LINCSCP_64893,VCAP,10uM,24h
AI_Overall_Up,SA-1457810,0.38722347,InputSig,NA,NA,LINCSCP_260830,NKDBA,3uM,24h
AI_Overall_Up,17-DMAG (Alvespimycin) HCl,0.38692626,InputSig,NA,NA,LINCSCP_101865,HELA,0.04uM,24h
AI_Overall_Up,Ruxolitinib,0.38552097,InputSig,NA,NA,LINCSCP_69282,A375,0.12uM,24h
AI_Overall_Up,STK661558,0.38485964,InputSig,NA,NA,LINCSCP_237826,MCF7,10uM,24h
AI_Overall_Up,Quetiapine,0.38419295,InputSig,NA,NA,LINCSCP_42579,NPC,10uM,24h
AI_Overall_Up,BRD-K75322905,0.38380052,InputSig,NA,NA,LINCSCP_37728,MCF7,1uM,24h
AI_Overall_Up,SA-424764,0.38158921,InputSig,NA,NA,LINCSCP_38257,MCF7,0.5uM,24h
AI_Overall_Up,SCHEMBL1670775,0.38029813,InputSig,NA,NA,LINCSCP_284771,SKB,10uM,24h
AI_Overall_Up,BRD-K82226238,0.3792811,InputSig,NA,NA,LINCSCP_279170,PC3,10uM,6h
AI_Overall_Up,Farnesylthioacetic acid,0.37883223,InputSig,NA,NA,LINCSCP_56288,VCAP,10uM,24h
AI_Overall_Up,CHEMBL1673039,0.3775067,InputSig,NA,NA,LINCSCP_116859,HT29,0.12uM,24h
AI_Overall_Up,SPOX1_002925,0.37707219,InputSig,NA,NA,LINCSCP_10813,ASC,10uM,24h
AI_Overall_Up,MLS-0435555.0001,0.37694891,InputSig,NA,NA,LINCSCP_58370,VCAP,10uM,24h
AI_Overall_Up,Tosedostat,0.37624221,InputSig,NA,NA,LINCSCP_234305,JHUEM2,80uM,6h
AI_Overall_Up,Ursolic acid,0.3754448,InputSig,NA,NA,LINCSCP_283007,RKO,70uM,6h
AI_Overall_Up,Hexylcaine,0.37467422,InputSig,NA,NA,LINCSCP_290011,VCAP,10uM,24h
AI_Overall_Up,GF-109203,0.37442589,InputSig,NA,NA,LINCSCP_53791,SNUC4,10uM,6h
AI_Overall_Up,AC1O9BJ3,0.37419943,InputSig,NA,NA,LINCSCP_10776,ASC,10uM,24h
AI_Overall_Up,TILUDRONATE DISODIUM,0.3730859,InputSig,NA,NA,LINCSCP_154399,PC3,3.33uM,24h
AI_Overall_Up,Fluphenazine,0.37195871,InputSig,NA,NA,LINCSCP_30151,MCF7,1uM,6h
AI_Overall_Up,Foretinib,0.37124426,InputSig,NA,NA,LINCSCP_130941,MCF10A,0.12uM,3h
AI_Overall_Up,MLS003129913,0.37084686,InputSig,NA,NA,LINCSCP_8282,A549,5uM,24h
AI_Overall_Up,Pirfenidone,0.37082033,InputSig,NA,NA,LINCSCP_99272,HA1E,1.11uM,24h
AI_Overall_Up,SCHEMBL16226068,0.3684554,InputSig,NA,NA,LINCSCP_43927,PC3,0.5uM,6h
AI_Overall_Up,SA-86418,0.368186,InputSig,NA,NA,LINCSCP_38244,MCF7,0.5uM,24h
AI_Overall_Up,BRD-K26381032,0.36800031,InputSig,NA,NA,LINCSCP_38017,MCF7,0.5uM,6h
AI_Overall_Up,NU-7441,0.36651538,InputSig,NA,NA,LINCSCP_99401,HCC515,0.04uM,24h
AI_Overall_Up,Fluperlapine,0.36509621,InputSig,NA,NA,LINCSCP_180288,A375,10uM,6h
AI_Overall_Up,BRD-K88290000,0.36508898,InputSig,NA,NA,LINCSCP_310692,VCAP,10uM,6h
AI_Overall_Up,SPECTRUM_001092,0.36507782,InputSig,NA,NA,LINCSCP_92896,HA1E,1.11uM,24h
AI_Overall_Up,Y-39983,0.36469956,InputSig,NA,NA,LINCSCP_69644,A375,10uM,24h
AI_Overall_Up,SA-96816,0.36213968,InputSig,NA,NA,LINCSCP_252503,MCF7,10uM,6h
AI_Overall_Up,Kinetin Riboside,0.36072755,InputSig,NA,NA,LINCSCP_53628,SNGM,10uM,6h
AI_Overall_Up,HEMICHOLINIUM-3,0.36063155,InputSig,NA,NA,LINCSCP_37060,MCF7,1uM,6h
AI_Overall_Up,Levetiracetam,0.36061772,InputSig,NA,NA,LINCSCP_96463,HA1E,3.33uM,24h
AI_Overall_Up,"3,5-Bis(4-methylbenzylidene)piperidin-4-one",0.36045288,InputSig,NA,NA,LINCSCP_10624,AGS,10uM,6h
AI_Overall_Up,Rilmenidine,0.35928333,InputSig,NA,NA,LINCSCP_53420,SKMEL28,10uM,6h
AI_Overall_Up,SB225002,0.35922621,InputSig,NA,NA,LINCSCP_257404,NCIH508,10uM,6h
AI_Overall_Up,C19H19FN4O3,0.35914919,InputSig,NA,NA,LINCSCP_145274,MDAMB231,0.04uM,3h
AI_Overall_Up,BRD-K23844489,0.35893495,InputSig,NA,NA,LINCSCP_64752,VCAP,10uM,6h
AI_Overall_Up,BRD-K36134449,0.35880469,InputSig,NA,NA,LINCSCP_255162,MCF7,5uM,24h
AI_Overall_Up,Puromycin Hydrochloride,0.35852588,InputSig,NA,NA,LINCSCP_56101,VCAP,10uM,6h
AI_Overall_Up,AG 14361,0.35815457,InputSig,NA,NA,LINCSCP_50914,RMGI,20uM,6h
AI_Overall_Up,SA-243913,0.35635232,InputSig,NA,NA,LINCSCP_254315,MCF7,1uM,24h
AI_Overall_Up,SB-203580,0.35554831,InputSig,NA,NA,LINCSCP_37974,MCF7,1uM,6h
