SYMBOL,SRR5961986,SRR5961987,SRR5961988,SRR5961989,SRR5961990,SRR5961991,SRR5961992,SRR5961993,SRR5961994,SRR5961995,SRR5961996,SRR5961997,SRR5961998,SRR5961999,SRR5962000,SRR5962001,SRR5962002,SRR5962003,SRR5962004,SRR5962005,SRR5962006,SRR5962007,SRR5962008,SRR5962009,SRR5962010,SRR5962011,SRR5962012,SRR5962013,SRR5962014,SRR5962015,SRR5962016,SRR5962017,SRR5962018,SRR5962019,SRR5962020,SRR5962021,SRR5962022,SRR5962023,SRR5962024,SRR5962025,SRR5962026,SRR5962027,SRR5962028,SRR5962029,SRR5962030,SRR5962031,SRR5962032,SRR5962033,SRR6443679,SRR6443680
A2MP1,50.99999,110.99998,99,73.99999,100.00001,120.99968,76.00003,79.99994999999998,65.00001,134.00028,94.999999,109.99998,112.00007,145.0005,69.99997,81.00004999999999,169.99981,170.00001000000003,125.99951,153.99969000000002,121.99984,94.99998,137.0002,140.00005,144.99986,143.99973000000003,186.99962,97.00003,113,91,83.00001,131.00001,120.00021,163.00001,137.99967,117.00027,130.99964,65.99996,158.00011,140.99961000000002,139.00034,111.00003,86.00000999999999,119.99984,59.99999999999999,109.00001,100.00004,102.99999,133.99996000000002,76.00003
A3GALT2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,2,1,2,0,0,1,0,1,0,1,1,1,0,0,0,0
A4GNT,0,3,4,4,0,1,0,3,0,2,0,1,3,4,1,1,4,3,0,4,0,3,1,1,0,1,3,0,7,2,1,0,0,2,1,3,2,0,1,2,0,0,0,0,1,1,2,4,2,0
AACSP1,9.15192,18.695,20.1025,22.3422,28.72892,31.5407,20.2252,16.7955,12.5655,25.4493,40.5837,17.3846,22.9108,31.7935,14.6088,17.1547,24.4803,27.7689,32.0849,27.99116,37.7685,25.4918,19.9706,32.0877,37.3501,36.5901,39.7503,19.1795,27.421,28.1758,27.44676,20.0281,39.1689,39.9238,30.8871,22.8269,20.7012,18.737,30.47041,25.5073,23.5479,41.3847,22.1239,15.7047,22.511,18.3416,20.8292,13.711,25.4493,20.2252
AADACL2,4,15.94926,16.6908,3.6353,7.28814,0,0,2,0,6.82924,7.03924,0,27.61568,54.81122,2,4,2,27.068836,6,68.0164,52.20102,7.27272,0,6.8997774000000005,18.15502,0,38.8952,18.2587,20.6216,14.55424,6,0,10.95008,7.28826,21.8612,8.88714,7.12986,3.63758,18.26004,10.94592,17.68708,0,3.5465,10.955200000000001,2,12.377558,7.13904,10.5173,6.8293,0
AADACL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACP1,0,1,0,3,1,1,3,1,1,2,1,3,4,7,2,0,3,3.0000009999999997,4,1,12,2,2,0,3.9999995,7,9,0,4,2,4.0000029999999995,3,0,1,2,1,3.00000000989997,0,2,2,7,1,0,6,1,2.000000474796,2,1,2,3
AARD,39.77572,91.65485,76.7165,66.37039999999999,85.1399,131.6236,67.0804,29.76167,37.586929999999995,70.7345,97.0199,86.84108,77.66629999999999,91.0741,38.521059,81.95389999999999,87.8963,95.4939,101.1142,94.4006,62.29947,98.4136,85.8343,70.5879,110.992,86.79670000000002,94.4089,65.0787,76.46249999999999,106.26,96.9468,54.95451,168.62050000000002,118.9379,135.4819,61.66243,109.6501,58.2232,55.3486,66.4986,94.09967,96.6726,67.7681,107.5243,37.250699999999995,82.9302,55.8419,62.504000000000005,70.7345,67.0804
AARS1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AARS2,163.639,312.18563,289.574,361.27573,377.57973,365.382,244.02963,262.95971,220.55548,304.19301,361.3666,380.95387,238.474,378.75772,189.649,278.704,390.77872,486.324,431.56417,522.6621299999999,410.66449,336.83918,404.51075,331.862,391.884,465.47137,444.01174,370.82629,481.4618,509.96872,276.84166,277.117,413.08121,481.59396,411.71998,368.10534,415.85376,260.44007,302.10733999999997,372.05214,388.58203,344.969,361.63689,576.4527899999999,285.453,478.91669,328.15121000000005,320.41256000000004,304.193,244.02963
AARSD1,210.52072,437.06132999999994,380.47389,383.5798699999999,356.6496400422625,446.2085,351.74103999999994,339.80522323181,281.5099,389.58873430000006,404.52913,551.87553,383.344063,552.9871466000001,237.32345,446.8111,519.35859,651.3747199999999,635.7106900000001,548.5882999999999,454.07623000000007,466.35598,528.9318599999999,493.88836900000007,469.06515,527.00827,603.5365100102309,494.10254,553.1778403122,713.86004,377.0782612651,459.06138,685.80202,650.0029000000001,645.58944,558.02867,529.00812,387.5550799999999,314.54443999999995,628.7935799999999,530.32746,526.10251,538.4972399999999,680.19877,480.86344,724.1615499999999,491.18777,425.049906,389.5862729,351.74103999999994
AARSD1P1,42,65,73,82,52,98,64,26,48,58,119,74,68,79,34,74,82,130,97,48,71,62,74,90,97,81,67,65,43,105,100,57,141,116,118,88,65,67,64,109,75,70,51,63,34,58,57,58,58,64
AATF,912.8773720233869,1718.9046912000001,1487.7758015400002,1434.3966369614,1605.4378600000002,1704.769126482,1335.6661,1502.9146240000002,1159.64448,1702.0204381580415,1853.4582479999997,2149.706807912,1615.549471092877,1999.43185824952,1064.588922,1458.2421914636145,2147.052772,2546.365655999999,2200.111022360399,2028.049972,2435.642011226,2134.017388,1852.945315,1953.54261434,1916.911007,2663.7387740000004,2383.762504,1969.7390280196,2418.970148,2416.9353656,1152.7065212016557,1810.507032,2217.195278,2398.5690881600003,2134.80746868,1814.5104799999997,2017.8118563079995,1134.1324139999997,1634.33677,2328.077894200016,1803.718778,2246.8516244615994,1956.47321042,2523.5261279999995,1802.212474,2569.0025880000007,2084.6555679999997,1566.1282174404,1702.0217601581912,1335.6661
ABCA11P,126.1471,167.6588,195.4509,223.29407,168.41544,274.1078,173.4624,141.6268,137.2682,217.2701,285.71229999999997,188.8247,170.293,240.8377,99.3937,231.512,252.5111,323.84312,340.89750000000004,233.6151,211.031,234.7665,249.8051,290.5442,193.4025,340.7356,261.9691,283.9724,241.52354,267.40434,208.7982,253.57,361.9294,351.9594,376.7528,308.84349,271.51655,182.1296,153.1673,311.0525,155.0098,333.2273,270.98037999999997,290.9083,179.7115,211.8583,242.82762,267.0086,217.2699,173.4624
ABCA17P,106.0097,189.48601,107.65708,138.40883,132.96044999999998,270.43669,151.3383,101.4154,125.66974,167.23781,223.4476,202.79667,152.82531,199.11753,128.07744,165.64184999999998,198.59341,307.3238,231.42841,170.94397999999998,169.86514,213.15166,144.09687,231.03418,153.72562,227.05793,185.21966,160.34449,155.73332,195.42862,242.53428,152.32062000000002,382.2303,229.10879999999997,312.22681,166.77555,158.23622,183.1893,198.21868,179.67505,180.0329,274.78731999999997,159.12788999999998,264.38684,141.24521,225.28861,183.89917,156.0316,167.23757,151.3383
