SYMBOL,logFC,logCPM,F,PValue,FDR
MAP3K3,-12.866716748294287,6.843640763581428,5440.678874163443,1.9218881268392827e-46,8.923154313698803e-43
SLC25A53,-14.101054994059576,5.853833835664938,5346.674770517934,2.774181350442656e-46,8.923154313698803e-43
ZNF550,-13.4409892377495,6.532444149252906,5146.045426213852,6.206718285580422e-46,1.330927291037962e-42
ALG11,-10.506687707239482,9.243774170517508,5009.216238759705,1.094517286348345e-45,1.4866898190068075e-42
C11orf1,-13.665275946993999,6.216844471200432,4989.814597943427,1.1876664194360431e-45,1.4866898190068075e-42
ZNF439,-12.67679456222328,7.215183294528229,4953.228610850488,1.38662193596158e-45,1.4866898190068075e-42
MED13L,-9.874191834411507,10.084420891977523,4757.87818204816,3.233430584011668e-45,2.9715227067067234e-42
CCDC127,-12.119851290412447,7.941309299463503,4679.203106664077,4.591963720645034e-45,3.2905046315049806e-42
BCDIN3D,-13.81092064746694,5.869087992390492,4678.643291707029,4.6035351598857175e-45,3.2905046315049806e-42
TSPY26P,-14.123489455577628,6.145721964633977,4652.6164316544455,5.1766822147518e-45,3.3301596687498326e-42
PGBD4,-12.110531125533285,7.879256316091774,4584.779010983754,7.050427107934689e-45,3.94292276928897e-42
ZFP82,-12.482720533981885,7.311587507457812,4575.566928109895,7.355055686533132e-45,3.94292276928897e-42
HAUS3,-11.927870392244873,8.018364384656453,4511.907148632853,9.875196239143798e-45,4.8867028774163116e-42
WDR61,-12.45880442632643,7.495266964922151,4458.179046770917,1.270404881769908e-44,5.5113518715581853e-42
CA13,-14.128243460696556,5.912847871651794,4455.741670673976,1.2850968144469575e-44,5.5113518715581853e-42
MRPS25,-11.589797262911718,8.159525613934733,4397.520591515413,1.694456818280148e-44,6.81277544499762e-42
PARD6B,-13.240989392476866,6.672103149503562,4342.708135356149,2.205679401375966e-44,8.346550346500935e-42
CNPY2,-12.308609029873098,7.564731032901801,4301.8355874764075,2.6907124931740383e-44,9.616307482549216e-42
ILKAP,-12.40568061845647,7.294739630100968,4256.080539009208,3.368785132628089e-44,1.1161184288359516e-41
CMC2,-12.113224457913667,7.876481586744735,4247.719411201356,3.510926701773155e-44,1.1161184288359516e-41
ZNF284,-13.883604392412487,6.07821639012944,4240.235876112505,3.643476916765892e-44,1.1161184288359516e-41
VHL,-11.250883250437433,8.519795253577051,4220.542815755818,4.017937208963266e-44,1.1748813666027589e-41
MED9,-12.191014170675588,7.56203104760723,4197.21366432913,4.514293402174095e-44,1.2626282372254765e-41
ZNF543,-13.08348157470724,6.833128895240181,4170.906414593539,5.15192075947655e-44,1.3777398468853496e-41
ZNF558,-13.287428276396339,6.797866540932864,4163.2693565920945,5.354188741199089e-44,1.3777398468853496e-41
LLPH,-12.567732716089253,7.61082605036434,4149.973535674549,5.726417288257989e-44,1.416847785206294e-41
ZNF629,-13.166182658023402,6.910531582593847,4093.9700209225275,7.618276130661557e-44,1.8151248277239186e-41
SMIM12,-12.38877414820384,7.5996481310353925,4085.5266783793295,7.955968550396432e-44,1.818526388241996e-41
KAT6B,-10.280653933501755,9.482988323548975,4079.7046024727515,8.197927134932051e-44,1.818526388241996e-41
PPP1R3E,-13.093884728162674,6.735985895813927,4053.103971248558,9.405570097134324e-44,2.016867747828837e-41
SAMD5,-13.626003332523062,6.561643749514668,3960.1238043335925,1.5313864678727377e-43,3.079257112810917e-41
GPATCH1,-13.408963299907693,6.673332935112783,3960.081439129066,1.5317305706505415e-43,3.079257112810917e-41
ZNF2,-14.245729513327337,5.856567685625699,3926.9477352089607,1.8273160551696343e-43,3.5621588433049264e-41
LAMC1,-12.42117002634791,7.586684685707516,3906.4397038645416,2.0396970181825376e-43,3.8592267405789014e-41
WDR70,-12.566489079466502,7.413599407810073,3895.447664598222,2.164025228349057e-43,3.977478369705567e-41
TRAPPC5,-13.098272299921378,6.842212608748149,3882.895943262594,2.3157571421946077e-43,4.1381293599271977e-41
ZNF549,-12.535826124577461,7.2797274447982,3844.7294862727076,2.849480565642207e-43,4.954245534804411e-41
AVEN,-14.519277046852745,5.440480755894042,3831.2954478616784,3.0667657324449766e-43,5.191711567583825e-41
MED22,-13.835262486570869,5.915284082776571,3825.209961319185,3.170838974720663e-43,5.230258237020007e-41
FUT4,-14.812758287266403,5.258731030883298,3803.4219533863416,3.574815220834617e-43,5.749196578907273e-41
DELE1,-12.553878874767245,7.295419169056617,3782.5329429594076,4.012933900700095e-43,6.296391166635052e-41
STMP1,-12.499657052443991,7.369377631265308,3732.385121978658,5.310369229878704e-43,8.133715537097548e-41
SMIM7,-12.645121481445077,7.48932861344958,3714.682210308227,5.867591604213432e-43,8.601230255002166e-41
COA8,-13.495444954611767,6.517355799856161,3714.2177030722737,5.883011522152888e-43,8.601230255002166e-41
NUDT19,-13.976435401601334,5.829099319021236,3707.5486510803953,6.109138341604381e-43,8.733352655897996e-41
ZNF398,-12.376180719806793,7.716857098993097,3692.690801342366,6.646273971443988e-43,9.294669664847648e-41
WHAMM,-12.82355784559288,6.955806298784688,3688.3073533444285,6.8140214410952946e-43,9.326510623524688e-41
H2BC15,-14.633931442333294,5.391048663668819,3681.871942963294,7.068370405563375e-43,9.473088920622749e-41
ANAPC16,-12.139316561199578,7.666215113617248,3670.344426768971,7.549141971760375e-43,9.910944960068264e-41
PIGM,-13.329548361782441,6.569798588341254,3631.969219821326,9.411928702932128e-43,1.1873858070632674e-40
MPLKIP,-12.580241372446572,7.158759522259786,3631.941379503395,9.413442586697751e-43,1.1873858070632674e-40
OXSR1,-12.121835074220636,8.050035204216222,3626.0043464794426,9.74218122720276e-43,1.2052202275883722e-40
CSRNP2,-11.639038442725514,8.473763534627093,3616.03521879803,1.0321499028145328e-42,1.2527962876992244e-40
ZNF234,-13.139719443982388,6.889753054766856,3597.6655378173014,1.1485458076106456e-42,1.3682583667332007e-40
TCTA,-13.615296355804476,6.528419789083909,3593.424754242059,1.1773204299755592e-42,1.3770367865514131e-40
ZNF280D,-12.480897726178354,7.483484586296276,3564.4649856321207,1.3951376722605491e-42,1.5511929078905105e-40
TIMM29,-14.517720987514563,5.444819603246312,3563.3509713925955,1.40431587537815e-42,1.5511929078905105e-40
TRNAU1AP,-13.373866351975497,6.434096052403873,3561.6728434075712,1.4182612692207038e-42,1.5511929078905105e-40
KDELR1,-13.611514519633328,6.419872479716366,3561.145870610009,1.4226703181336875e-42,1.5511929078905105e-40
ZNF224,-12.67179177441942,7.204730017268333,3549.224746115356,1.526342557041366e-42,1.6364936115745178e-40
ZNF197,-12.230923583188826,7.903602080885091,3537.5902772895524,1.6351709070644194e-42,1.679367681654313e-40
ZNF660-ZNF197,-12.230923583188826,7.903602080885091,3537.5902772895524,1.6351709070644194e-42,1.679367681654313e-40
CSTB,-13.722364876185358,6.093295982341368,3536.6158249705245,1.6446473487365415e-42,1.679367681654313e-40
