SYMBOL,logFC,logCPM,F,PValue,FDR
BCL7A,-11.77576348341784,8.137941717034915,8842.436403420212,3.816163839748861e-52,2.5984259584849997e-48
ZNF439,-12.256027519036303,7.637248291269816,8274.924212779366,1.61776115700484e-51,3.5718198972228795e-48
LOC344065,-14.01161575300619,6.154781089862102,8179.37237878995,2.0831759301827402e-51,3.5718198972228795e-48
ALG11,-10.403105538703088,9.511269613035282,8127.666032161057,2.3915642228573478e-51,3.5718198972228795e-48
HAUS3,-11.767625777422136,8.198689408954602,8046.369789507138,2.976601440137608e-51,3.5718198972228795e-48
CCDC127,-12.108160531069124,7.944441649394658,8021.220418599185,3.186506827177093e-51,3.5718198972228795e-48
VHL,-11.574510125394479,8.322824231922928,7969.131630018124,3.6720134058687264e-51,3.5718198972228795e-48
TCTA,-13.905678817070218,6.052915456036815,7887.7231523013315,4.5916373394175553e-51,3.908057330511767e-48
ZNF546,-11.954993644105679,7.984797183058384,7807.193882185648,5.740740477230475e-51,4.053160047458704e-48
JRK,-12.99099565269367,6.88609712381435,7794.201865034728,5.952650972916293e-51,4.053160047458704e-48
N4BP1,-12.012322655836485,8.078837194711543,7703.867325138766,7.671782649902083e-51,4.7488334602893895e-48
MED13L,-9.990087216430597,9.97539085137412,7562.241032854453,1.148837670005655e-50,6.518696412557087e-48
ZNF398,-12.257061643214588,7.7572542848608945,7488.33362008094,1.4225659265780767e-50,7.096499941653121e-48
MSL2,-11.91719983246027,8.076794949418085,7479.6090207748775,1.4591129267608122e-50,7.096499941653121e-48
ZBTB4,-11.391629704017472,8.707995904272252,7085.513404807501,4.737144519815899e-50,2.0494785007397008e-47
ZNF550,-13.322582482092663,6.781679695258382,7080.14266328661,4.815928331889442e-50,2.0494785007397008e-47
CNPY2,-12.35907022330804,7.498318269464358,6971.906228495458,6.732965449009563e-50,2.398546751053378e-47
SSRP1,-11.73718018735182,8.133044853476498,6968.568205373009,6.803463320406477e-50,2.398546751053378e-47
TMEM62,-12.998239318188242,6.838044815235988,6963.684226375637,6.908005246428829e-50,2.398546751053378e-47
ZNF674,-13.021766681278455,6.723503313723705,6957.389638199223,7.045224705693577e-50,2.398546751053378e-47
SMCR8,-12.260414282532537,7.727929758189257,6918.499750632562,7.95869841350626e-50,2.58051321416972e-47
BCDIN3D,-13.986828440946917,5.788325236916916,6898.096792677691,8.486690611260701e-50,2.626630744185187e-47
HNRNPL,-11.178701890609055,8.810984957365633,6763.243090445707,1.3037905332647397e-49,3.859786843912875e-47
TMEM69,-14.310141024780695,5.457039115765893,6743.3813996361805,1.3898994691699678e-49,3.9432606189909626e-47
MED22,-14.215536781879056,5.773017638528801,6631.407702285992,2.000369114961783e-49,5.408098549756926e-47
RPUSD4,-13.085577822461117,6.773905091005916,6621.706502207991,2.0650692068391848e-49,5.408098549756926e-47
RTL10,-13.179933515994554,6.842237761998017,6592.47190401866,2.2736139176154354e-49,5.459512607834194e-47
ZNHIT3,-11.339512243075752,8.63447597281494,6590.144564462088,2.2911359580991445e-49,5.459512607834194e-47
GNA11,-13.44072541291812,6.792337271850873,6585.667116220269,2.3252440244851173e-49,5.459512607834194e-47
SLC25A53,-13.52088417400832,6.263643093583256,6561.8964231919335,2.51543227058031e-49,5.709192776793778e-47
EIF1AD,-13.609404535042183,6.381282158017941,6531.286835874667,2.7845917116461508e-49,6.116220956322142e-47
CIAO1,-11.214711861228093,8.703547364911092,6502.068121402561,3.069704145828437e-49,6.230745180452203e-47
ZNF224,-12.516088036679951,7.4081943048861065,6494.9368894299005,3.143819874215983e-49,6.230745180452203e-47
FEM1A,-11.261188873437309,8.574158566077402,6489.7081917476835,3.199349875504933e-49,6.230745180452203e-47
