SYMBOL,logFC,logCPM,F,PValue,FDR
HAUS3,-11.967749653445436,7.987144522109747,6684.439371389401,3.3905858187728886e-48,1.2175999841426752e-44
MRPS25,-11.632389370713309,8.250539497957266,6557.756049723691,5.068947454801735e-48,1.2175999841426752e-44
CMC2,-12.17331310371055,7.859592754210199,6534.5553725287145,5.460905893897482e-48,1.2175999841426752e-44
PIGM,-13.539876341028364,6.3706771226819106,6273.923003426704,1.284384868143557e-47,2.147812595753063e-44
MAP3K3,-12.96713738105042,6.8218085373191615,5841.894117483481,5.748162529473399e-47,7.689891831929513e-44
CRIPT,-11.332401543204274,8.59587121570252,5626.293665861038,1.2659865293048296e-46,1.4113639824200008e-43
DELE1,-12.57579616856484,7.294354135214625,5421.084847017383,2.761471278872964e-46,2.638783054911608e-43
SMIM7,-12.678364382801458,7.380355966336596,5321.541805694249,4.074312142886882e-46,2.966223594669255e-43
ZNF558,-13.109103733903925,6.81644312261101,5303.888377984838,4.368549755654364e-46,2.966223594669255e-43
ZNF616,-13.389268522891275,6.484423880441191,5292.558683157582,4.5690422411655654e-46,2.966223594669255e-43
MED9,-12.410894099946708,7.694068674263346,5276.084821633796,4.877927872830289e-46,2.966223594669255e-43
ZNF439,-12.84652028610678,7.265031251177839,5226.530477419387,5.946050108791667e-46,3.3144274314756215e-43
ZSWIM5,-13.33399506410657,6.629803384714772,5189.202491495896,6.910999314650853e-46,3.555974955053812e-43
PDE12,-11.926045688694222,8.034006150137925,5167.360878694801,7.550458672178789e-46,3.603476911808755e-43
ZNF234,-13.173851982443754,6.8232976913122085,5150.669759550405,8.080752530592216e-46,3.603476911808755e-43
ZNF546,-12.577080161702861,7.38177489847049,5014.294220571232,1.4187922841270955e-45,5.9314384928288384e-43
ZNF543,-13.035532119396594,6.862501854983341,4969.22774622091,1.7145766790381228e-45,6.746354944756473e-43
CA13,-13.692899550035987,5.733361023067949,4836.629326083731,3.0233285777079426e-45,1.1139010014882067e-42
GATAD1,-11.799438527162453,8.197812856957976,4826.149182455697,3.164018392626092e-45,1.1139010014882067e-42
HNRNPL,-10.756237777032887,8.943500330528035,4774.331223250508,3.967693400320816e-45,1.3269950577372969e-42
LLPH,-12.57277387108931,7.491648687695906,4724.18859822703,4.950753499086367e-45,1.5769328645423193e-42
DCP1A,-12.645714439021,7.232013448261771,4651.642730887024,6.847964003146395e-45,2.0820923280475563e-42
C11orf1,-13.685014185806569,6.193500877589942,4626.081172217054,7.686411218403868e-45,2.191863613488324e-42
WHAMM,-12.921253068808012,7.040076922193156,4621.032534145109,7.864363391197456e-45,2.191863613488324e-42
LOC344065,-13.63471780709155,6.303314657271292,4596.784959754569,8.78119527914296e-45,2.3494966088874905e-42
ALG11,-10.903364279294664,9.205700669206376,4555.751312344091,1.0596688855460794e-44,2.726201990545279e-42
TANGO6,-12.070677824060562,7.678637513123119,4534.974568466077,1.166201751217853e-44,2.8891568569986e-42
EIF1AD,-13.244131133002359,6.6461837116379074,4523.6515541590925,1.2289283635545973e-44,2.935822079934536e-42
CCDC127,-12.257466251852886,7.873855726970714,4494.383400727483,1.407996435619242e-44,3.24462856506625e-42
SMIM12,-12.362405702960796,7.612327055156132,4487.315271422209,1.45520790778872e-44,3.24462856506625e-42
TRIM52,-12.26698122222654,7.667745483542126,4464.581655875349,1.6186260922030878e-44,3.492577397014985e-42
ZNF212,-14.668420695216255,5.12307119773009,4454.703453779853,1.6955219142532168e-44,3.5441706513874275e-42
PM20D2,-13.201015425371299,6.907637863987933,4446.493293377615,1.7623424428096849e-44,3.572214727258782e-42
MOCS3,-14.021869378704233,6.069258216200988,4435.5602096743705,1.8556341460551038e-44,3.650687294988997e-42
TSPY26P,-13.94164599716733,5.980576328805501,4411.061805701891,2.083959356123308e-44,3.982744038031088e-42
RBM15B,-12.543202998027411,7.210385932422301,4363.756529703738,2.612118396573762e-44,4.8534610985227474e-42
GPATCH1,-13.126828822813788,6.759782957869557,4318.622618644744,3.2477342718795426e-44,5.871376903946557e-42
POLR3K,-13.798038776535693,6.2430788197566605,4273.693349302424,4.043121678928673e-44,7.116958134303656e-42
ILKAP,-12.584189967312673,7.413849930775835,4233.719943918079,4.92261297676242e-44,8.406039928272537e-42
PDP2,-12.136712868827667,7.641936743297889,4229.4888168921725,5.026784229793714e-44,8.406039928272537e-42
SYDE2,-13.613901689469312,6.188922848782129,4214.905334362902,5.403880671754524e-44,8.816233613016101e-42
ZNF549,-12.643548283706954,7.301594841389324,4201.32968513613,5.78158732494297e-44,9.207866099177031e-42
SNAPC1,-13.613855731824888,6.395090196334907,4173.409682743717,6.647945150202943e-44,1.0341419792955228e-41
TRNAU1AP,-13.278731788135504,6.447965625333711,4153.462167121108,7.349513618896801e-44,1.1074862689861227e-41
FAM118B,-13.264126975924805,6.706819444645123,4148.742099984739,7.526601285833692e-44,1.1074862689861227e-41
FADS3,-12.597036929748912,7.1376290795358575,4146.399597509657,7.616141183041059e-44,1.1074862689861227e-41
