SYMBOL,SRR5961844,SRR5961845,SRR5961846,SRR5961847,SRR5961848,SRR5961849,SRR5961850,SRR5961851,SRR5961852,SRR5961853,SRR5961854,SRR5961855,SRR5961856,SRR5961857,SRR5961858,SRR5961859,SRR5961860,SRR5961861,SRR5961862,SRR5961863,SRR5961864,SRR5961865,SRR5961866,SRR5961867,SRR5961868,SRR5961869,SRR5961870,SRR5961871,SRR5961872,SRR5961873,SRR5961874,SRR5961875,SRR5961876,SRR5961877,SRR5961878,SRR5961879,SRR5961880,SRR5961881,SRR5961882,SRR5961883,SRR5961884,SRR5961885,SRR5961886,SRR5961887,SRR5961888,SRR5961889,SRR5961890,SRR5961891
A2MP1,36,86.00004,88.00003999999998,67.00001,55.99995,80.00003000000002,72.00005,113.00022,78.99998,57.99996,156.00025,64.99995,98.00001,65.99995,109.00006,69.99995,60.99999,110.00004,93.99997,136.00018,84.00003,53.99999,125.99968,71.99998000000001,40.00002,90.00001999999999,128.99992,100,89,107.00002,152.00014000000002,95.99992,84.99994999999998,92.00001,72.99996399999999,112.99997,98.00001000000002,75.99998,125.99957,77,67.00001,162.00015000000002,82.99996000000002,106.99997,75.99996,63.000029999999995,128.99995,85.99996
A3GALT2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,2,1,0,1,0,1,2,1,2,0,1,4
A4GNT,1,2,1,1,1,0,2,4,1,0,2,2,3,0,0,1,1,0,2,0,0,1,4,0,0,1,2,1,1,2,4,0,1,2,2,0,0,3,4,2,1,3,1,0,3,0,4,2
AACSP1,21.7549,33.22586,27.45274,21.6333,13.8188,35.0075,30.9926,54.7617,37.48,23.38684,56.90379,22.9883,59.91011,12.3513,37.39531,30.2959,20.0307,34.7667,45.59613,33.12045,35.4144,16.9452,42.04238,19.42317,11.4816,28.0145,30.932,50.1437,27.4565,38.6552,97.15708,26.271,48.022400000000005,23.1661,36.6239,28.108,24.8924,33.2005,30.7286,33.63512,32.0189,54.09476,28.4122,59.43028,53.10216,37.393,49.897090000000006,41.9084
AADACL2,6.903367,3.64494,3.64146,3.63954,2,2,0,7.2761,7.28176,6.80552,18.27156,6.98269832,4,2,0,2,8.90344,2,0,0,21.0564,7.27294,3.62576,2,3.64022,4,3.63934,8.084,0,3.63928,2,6.514582,6.88004,9.429178,0,7.27904,0,0,3.63148,10.90134,2,9.393978,17.11912,10.93794,10.8796,0,7.2569,0
AADACL4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
AADACP1,1,0,1,1,1,0,2,0,2,1,1,1,0,3,0,1,0,1,0,2.9999979999999997,3,0,0,0,1,3,2.000000632008,2,2,1,2,2.0000011,0,0,2,1,3,0,2,1,1,0,0,1,2,1,2,0
AARD,38.41,63.339,58.80605,57.21776,61.189969999999995,90.87462,48.5444,83.6811,66.38159999999999,55.98,105.6409,70.3182,100.3834,55.056999999999995,94.0317,67.06445000000001,42.1019,81.72986,79.48318,120.1831,51.1745,60.0408,99.871,44.1867,29.1901,72.9791,90.4596,81.9587,76.1863,82.56960000000001,190.3126,61.301100000000005,51.05723,53.8606,85.45570000000001,52.6655,95.33834,102.4537,89.66760000000001,85.1668,57.942,91.0595,54.84974,138.4371,85.4417,63.9246,77.795,66.63504999999999
AARS1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AARS2,252.82449,473.56737,484.19521,472.678,450.61,501.7932,507.68498,497.73649,558.87563,501.336,714.00651,594.11465,492.31278,485.52043,551.63774,635.4026,330.1271,802.2736,642.09056,831.9732,625.76985,549.8968,1150.0864,416.67418,270.60532,731.09963,560.63606,858.1941400000001,593.18543,748.94964,968.22037,522.07401,453.70101,546.90705,520.89175,612.9976700000001,646.79466,800.02078,707.26957,472.57661,418.1584,591.98172,702.592,676.33636,641.353,630.79787,787.11079,694.17457
AARSD1,363.1588039999999,494.5429099999999,456.96021,574.8422299999999,456.84631,469.4184700289557,621.9997999999999,568.303903,591.87977,583.0112299999998,719.03831,611.65151,581.1487699999999,582.2219799999999,511.91752473895,569.18877,407.52589,1021.59841,692.6959400000001,830.3802933452,609.5289400000001,663.0353000000001,1082.48868,543.9101249304,346.3027870000001,758.936290462349,770.5476,801.7917300000001,521.40909,811.0165800000001,1024.43818,722.00692,469.64422,721.86757,388.36353,958.6940900000002,717.29015464,860.7363399999998,695.9927999999999,655.5406000000002,484.74512,672.84208,821.8699800207478,607.5326999999999,657.0357942480999,659.1842699999999,958.08451654183,797.62373
AARSD1P1,47,56,64,36,39,99,53,73,66,46,124,55,86,47,60,107,43,111,108,85,72,75,123,50,44,69,81,109,97,141,175,52,81,71,87,63,72,68,64,107,41,114,44,131,86,90,84,108
AATF,1064.6770562,1447.8787049378782,1336.9573898400004,1512.7306184,1484.7408113514,1466.6941759999995,1630.4836399999995,2034.381552,1658.7463664599998,1746.9680971553823,2466.1977121534183,1864.3083279295352,1694.4717592000002,1577.7796461238,1494.6038140440328,1612.6860199999996,1070.484703,2981.66746586,1686.8255339999998,2383.85230157,1762.2566058000002,1828.74372,3230.332216,1412.01378006,797.57222756,2153.33834,2011.654192,2493.681137999999,1607.9957253148661,2177.401619088,2693.4404320000003,1959.7899,1465.4559880000002,1863.4103560000003,1337.70814686594,2177.3230794914,2007.44866,2203.4696659999995,2561.65136,1736.3431581999998,1319.075302336794,1989.4982473887103,2460.37341013018,1861.4091200000005,1685.7859560000004,1670.8161299838002,2518.64594,2034.9756420000003
ABCA11P,158.20680000000002,291.2835,227.6616,241.4711,202.79405000000003,228.9996,243.8169,318.74339999999995,294.0982,244.9865,358.2007,281.10760000000005,261.63039999999995,177.7453,218.8159,234.8422,206.844,326.9276,290.498,198.8539,220.28302,221.746,461.2677,194.7345,92.5397,287.86560000000003,275.9449,412.58266,258.6852,272.9534,387.6007,254.157,248.6374,286.471,203.7928,236.8288,371.5823,324.27965,300.8684,329.43,172.9192,381.53305,242.5214,327.0669,333.6256,191.9865,379.5616,330.50660000000005
ABCA17P,67.64558,97.25559,117.38894,76.52158,85.53795,120.36036,107.66099,121.00678,137.17606,91.99996,185.32213,108.35938000000002,180.086866,87.68625,163.88826,135.73462,57.27666,168.61985,165.69362999999998,147.15573,109.62672,112.77689999999998,202.70152,93.4754,74.76462,143.67554,137.31007,174.64951000000002,146.65555999999998,169.98314,246.68479,72.84736,142.20631,102.16147,131.50524,102.8006,126.70378,130.5909,129.26475,65.34515999999999,101.0933,173.56322,100.70347999999998,224.8748,192.8945,134.28313,168.15269,138.06711
ABCB10,329.31644,467.28815,385.84833,428.53711,435.47784,375.359,443.0859,590.79154,507.88201,602.6910399999999,661.4556,535.3834099999999,477.19762,375.54438,441.21431,409.61983,308.78180999999995,797.9241999999999,552.6680799999999,639.1868499999999,514.66831,565.1079199999999,796.0833,415.52506,289.40156,613.1038500000001,569.8006300000001,673.05775,529.29512,584.9429000000001,873.936,635.5136299999999,389.77744,525.42196,313.00018,559.4781999999999,561.9497600000001,628.94323,574.1722000000001,482.00867,428.42644,555.03859,687.2325800000001,542.8295,572.5816300000001,505.71446,748.105,621.4252
ABCB10P3,0,0,0,0,1.7072,0,0,0,0,0,0,1.42489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987352,6.43488e-4,0,0,0,4.29072,0,0,0,0,0,0,0,5.88498,0,0,0,0,0
ABCB10P4,0,0,1.69985,0.427805,0,1.07294,0,0,0.978842,0,0,0,1.12739,0,0.530656,3.05561,1.18924,0,2.05765,1.98666,0,6.20808,0,0,0,0,0,2.45549,0,0,3.72301,2.61243,0.54551,0,0.020776,1.24872,0,0,2.23097,0,0,0.495349,0,0,3.64524,1.11349,0,0
ABCB11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC1,219.9225,374.04586199999994,363.86372,290.49181799999997,401.765482,496.68934,361.7837,326.598449018,484.12588000000005,335.205845678,730.6902,417.779576,347.36012,425.567161674,327.07104985224,480.7774200000002,225.1249798572,711.04442,574.92768,620.5360000000001,315.59783344864,469.5882,700.431741609016,286.22476000000006,286.24933999999996,432.91102,597.05602,597.6618784056001,485.2481092,872.086064,741.123884,425.8978,426.9808323,418.06108,352.58212,645.9234,464.214066,837.07614076,419.3644,633.6309699,336.24846147959204,574.5198,395.6744,497.89536,596.74014,555.47828334916,484.900638,474.51702
ABCC13,28.294600000000003,50.35971,50.7174,30.25101,23.3949,58.4124,37.6305,45.423,53.1774,34.5571,91.592,41.31948,70.6032,36.46443,72.1503,43.932500000000005,23.18767,36.3316,49.41638,59.274840000000005,48.3871,32.23601,67.5234,21.32798,25.1075,34.1748,67.55602,61.82545,54.47853,58.4723,100.32942,28.07626,53.248,38.8293,40.605,25.29373,41.7588,53.2509,42.4427,41.21422,42.52965,60.7035,30.05894,97.4457,32.12775,39.3395,75.18665,51.3045
ABCC6,111.286,170.20960000000002,176.727,118.682,153.9282,252.654,127.13556,200.8264,216.1042,95.5553,309.029488,155.187,240.2102,146.17299,289.3804,267.533,74.4968,256.87913399999996,185.463,246.05706,214.160268,165.26442000000003,319.3138,157.363,96.173904,165.63279999999997,160.964,220.338664,296.84006,272.23436,423.96328,132.03338,188.98748,151.974,328.4332,112.781,207.3153,184.8812,183.55748,176.59500000000003,115.907268,319.9314,157.03682,317.6720199999999,212.91992,199.7248,344.85339999999997,216.716352
ABCC6P1,11.89881,12.00891,9.097168,10.5088,14.1507,24.3305,15.719930000000002,14.104970000000002,18.74886,19.3282,32.412040000000005,12.2882,20.4323,11.4774,25.43365,14.34254,13.906,14.4651274,24.92815,19.966099999999997,5.2375,15.75884,27.99312,11.1568,9.61343,23.6205,24.39425,19.38286,19.1371,33.699,31.4573,27.4337,13.1242,13.338,13.15895,5.81661,16.8269,19.91547,12.4445,11.08123,13.43441,12.19087,15.3418,24.26144,24.33522,20.94538,36.32886,19.9575
ABCC6P2,0,0,9.8056601527372,4.000000223226,2,0,0,0,3.022921708714,2.000000061242,6.174101404562,8.0000025239,0,0,2,0,4.4100801101568,17.626185013409998,3.1133020737400003,10.239084073979999,8.580488340799999,6.00000235058,0,0,9.015781630253999,2,9.322580654016,0,0,0,6.02104439806,0,11.42860541884,6.00000218146,20.55807822776,8.366780781672,10.833204114904799,6.5044600575626,2,2,2.143548,2.0000000635012,2.129592,1.7418387446999999,0,0,4.4580801030788,4.334940346045999
ABCD1P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD2,1621,2317,1681,2103,2478,2261,2238,2876,2190,2778,2595,2632,1802,1704,2093,1324,1427,3595,2108,2650,2105,3007,3106,1456,1269,2497,3261,3113,2327,2251,3938,3048,1402,2262,1662,2288,2597,2852,4356,1180,1689,2649,2929,2612,2508,2133,2744,2383
ABCF1,3685.2499165062004,5198.78695100221,5955.448170327122,4818.5802,4298.282986536,6372.273941013285,3537.015991320001,6811.749854533492,8158.189843836761,4696.0109812,10311.968943080003,5249.487991369999,7066.712210529269,4591.526624895897,5592.847552634999,6195.854384626978,3335.2956735716075,13860.6818,7626.088444988145,11194.12291179686,7275.651364789033,8399.349703706814,13929.163501562529,5916.69127,2198.115157385121,7077.4494,8412.22343171684,10179.012873904003,4362.75064157982,5738.384557893806,8841.258234999836,6664.947568769,6587.644863590045,7463.6179674126,6778.368059754481,6908.064449999998,5567.407300000001,9759.013096322,6896.691213327713,4339.406175440001,5777.3755200000005,7847.209650000001,10297.199006850004,6401.176727497848,6271.2345425799995,5370.5176119882,10090.934,8948.871399999996
