Source,Target,Similarity,SourceSignature,SourceCellLine,SourceTime,TargetSignature,TargetCellLine,TargetConcentration,TargetTime
AI_Overall,(S)-Tipifarnib,0.45016849,InputSig,NA,NA,LINCSCP_53478,SKMEL28,10uM,6h
AI_Overall,PRX-08066 Maleic acid,0.40903935,InputSig,NA,NA,LINCSCP_118431,HT29,10uM,24h
AI_Overall,MLS002699429,0.38050095,InputSig,NA,NA,LINCSCP_282968,RKO,40uM,6h
AI_Overall,Fusaric acid,0.35470699,InputSig,NA,NA,LINCSCP_7208,A549,10uM,6h
AI_Overall,NSC23766,0.35431561,InputSig,NA,NA,LINCSCP_50727,RKO,100uM,6h
AI_Overall,BRD-K96539190,0.35037588,InputSig,NA,NA,LINCSCP_27458,HT29,5uM,24h
AI_Overall,Capsaicin,0.34923113,InputSig,NA,NA,LINCSCP_282977,RKO,100uM,6h
AI_Overall,AZD-2014,0.34493312,InputSig,NA,NA,LINCSCP_12970,EFO27,10uM,6h
AI_Overall,Olaparib,0.344767,InputSig,NA,NA,LINCSCP_68751,VCAP,10uM,24h
AI_Overall,Mecamylamine,0.33472646,InputSig,NA,NA,LINCSCP_72167,A375,3.33uM,24h
AI_Overall,BRD-K44070326,0.3302475,InputSig,NA,NA,LINCSCP_312013,VCAP,10uM,24h
AI_Overall,BRD-K53022123,0.32841832,InputSig,NA,NA,LINCSCP_228757,HT29,5uM,24h
AI_Overall,17-DMAG (Alvespimycin) HCl,0.32745687,InputSig,NA,NA,LINCSCP_101865,HELA,0.04uM,24h
AI_Overall,BRD-A24396574-001-01-5,0.32725988,InputSig,NA,NA,LINCSCP_130206,LNCAP,10uM,3h
AI_Overall,STK249718,0.32411462,InputSig,NA,NA,LINCSCP_23731,HEPG2,3uM,6h
AI_Overall,OTSSP167,0.32029189,InputSig,NA,NA,LINCSCP_146307,MNEU.E,1.11uM,24h
AI_Overall,Verapamil,0.31935099,InputSig,NA,NA,LINCSCP_40262,NCIH596,10uM,6h
AI_Overall,galantamine,0.31689595,InputSig,NA,NA,LINCSCP_70493,A375,0.04uM,24h
AI_Overall,Withaferin A,0.314178,InputSig,NA,NA,LINCSCP_81502,A549,10uM,24h
AI_Overall,SG-209,0.31338658,InputSig,NA,NA,LINCSCP_56259,VCAP,10uM,24h
AI_Overall,BRD-K66299073,0.30863397,InputSig,NA,NA,LINCSCP_63725,VCAP,5uM,24h
AI_Overall,SPOX1_000651,0.30504722,InputSig,NA,NA,LINCSCP_58726,VCAP,10uM,6h
