Source,Target,Similarity,SourceSignature,SourceCellLine,SourceTime,TargetSignature,TargetCellLine,TargetConcentration,TargetTime
NA_Female,Nicotin-Amide,0.28532417,InputSig,NA,NA,LINCSCP_73924,A375,0.12uM,24h
NA_Female,Ornidazole,0.27328412,InputSig,NA,NA,LINCSCP_168474,YAPC,0.04uM,24h
NA_Female,ML130,0.27131352,InputSig,NA,NA,LINCSCP_189577,A549,10uM,24h
NA_Female,ST50840204,0.27084731,InputSig,NA,NA,LINCSCP_190553,A549,10uM,24h
NA_Female,TAK-733,0.26539107,InputSig,NA,NA,LINCSCP_169331,YAPC,0.04uM,24h
NA_Female,Phenoxazine,0.26007176,InputSig,NA,NA,LINCSCP_53699,SNU1040,10uM,6h
NA_Female,Amuvatinib,0.24564282,InputSig,NA,NA,LINCSCP_129386,JURKAT,3.33uM,24h
NA_Female,GW305074X,0.23866495,InputSig,NA,NA,LINCSCP_44721,PC3,10uM,24h
NA_Female,GDC-0152,0.23767798,InputSig,NA,NA,LINCSCP_97105,HA1E,1.11uM,24h
NA_Female,GW-5074,0.23457919,InputSig,NA,NA,LINCSCP_152251,PC3,10uM,24h
NA_Female,BRD-K99567611,0.23321412,InputSig,NA,NA,LINCSCP_61857,VCAP,5uM,24h
NA_Female,CHEMBL3184089,0.23225342,InputSig,NA,NA,LINCSCP_61030,VCAP,5uM,24h
NA_Female,Luliconazole,0.22799922,InputSig,NA,NA,LINCSCP_174455,YAPC,10uM,24h
NA_Female,SKF-83959,0.22243846,InputSig,NA,NA,LINCSCP_78840,A375,0.12uM,24h
NA_Female,Tozasertib,0.22046693,InputSig,NA,NA,LINCSCP_171590,YAPC,10uM,24h
NA_Female,Nebivolol,0.22020545,InputSig,NA,NA,LINCSCP_169974,YAPC,10uM,24h
NA_Female,MLS001116216,0.21838213,InputSig,NA,NA,LINCSCP_47416,PC3,10uM,6h
NA_Female,Imiloxan,0.2176282,InputSig,NA,NA,LINCSCP_91022,HA1E,10uM,24h
NA_Female,AC480 (BMS-599626),0.2167796,InputSig,NA,NA,LINCSCP_170139,YAPC,0.37uM,24h
NA_Female,Balapiravir,0.21654162,InputSig,NA,NA,LINCSCP_108228,HELA,3.33uM,24h
NA_Female,CI-1040,0.21617169,InputSig,NA,NA,LINCSCP_29686,MCF10A,0.5uM,6h
NA_Female,Moxisylyte,0.21521763,InputSig,NA,NA,LINCSCP_78794,A375,0.04uM,24h
NA_Female,Topiramate,0.21499294,InputSig,NA,NA,LINCSCP_71279,A375,1.11uM,24h
NA_Female,WZ 4002,0.21087376,InputSig,NA,NA,LINCSCP_147634,NPC.CAS9,0.04uM,24h
NA_Female,"(8Xi,11beta,14xi,16beta)-21-Chloro-9-fluoro-11-hydroxy-16-methyl-3,20-dioxopregna-1,4-dien-17-yl propanoate",0.21031729,InputSig,NA,NA,LINCSCP_166379,YAPC,0.37uM,24h
NA_Female,Tamibarotene,0.20966486,InputSig,NA,NA,LINCSCP_135568,MCF7,1.11uM,24h
NA_Female,BRD-K51288770,0.20922842,InputSig,NA,NA,LINCSCP_28127,HT29,5uM,24h
NA_Female,ST056792,0.20881144,InputSig,NA,NA,LINCSCP_46348,PC3,10uM,6h
NA_Female,Mitoxantrone,0.2081098,InputSig,NA,NA,LINCSCP_146007,MNEU.E,10uM,24h
NA_Female,"N,N-Dimethyl-n'-{5-[(2-methyl-4-quinolyl)thio]-1,3,4-thiadiazol-2-yl}iminoformamide",0.20686371,InputSig,NA,NA,LINCSCP_46651,PC3,10uM,6h
NA_Female,SR 33805 oxalate,0.20628447,InputSig,NA,NA,LINCSCP_170892,YAPC,1.11uM,24h
NA_Female,BRD-K56243496,0.20624643,InputSig,NA,NA,LINCSCP_65663,VCAP,10uM,24h
NA_Female,BRN 1549781,0.20620249,InputSig,NA,NA,LINCSCP_27170,HT29,10uM,6h
NA_Female,apigenin,0.20504572,InputSig,NA,NA,LINCSCP_144847,MDAMB231,0.12uM,24h
NA_Female,BRD-K68565044,0.20402853,InputSig,NA,NA,LINCSCP_297231,VCAP,5uM,6h
NA_Female,SC_I_004,0.20219164,InputSig,NA,NA,LINCSCP_5946,A549,10uM,24h
NA_Female,Zafirlukast,0.20201465,InputSig,NA,NA,LINCSCP_108869,HELA,10uM,24h
NA_Female,BRD-K81826010,0.20194847,InputSig,NA,NA,LINCSCP_50509,PHH,3uM,6h
NA_Female,BRD-K09547783,0.20124867,InputSig,NA,NA,LINCSCP_62619,VCAP,5uM,24h
NA_Female,Dasatinib,0.2011366,InputSig,NA,NA,LINCSCP_151597,PC3,1.11uM,24h
NA_Female,AZD-8330,0.20073671,InputSig,NA,NA,LINCSCP_132337,MCF7,3.33uM,3h
NA_Female,Inolitazone (dihydrochloride),0.2002321,InputSig,NA,NA,LINCSCP_154839,PC3,0.12uM,24h
NA_Female,Josamycin,0.20017726,InputSig,NA,NA,LINCSCP_117986,HT29,0.04uM,24h
