Source,Target,Similarity,SourceSignature,SourceCellLine,SourceTime,TargetSignature,TargetCellLine,TargetConcentration,TargetTime
OFC_Med,Veliparib (ABT-888),-0.54222295,InputSig,NA,NA,LINCSCP_137784,MCF7,10uM,24h
OFC_Med,Alprostadil,-0.53088722,InputSig,NA,NA,LINCSCP_103778,HELA,0.37uM,24h
OFC_Med,"NG,NG-Dimethyl-L-arginine, Dihydrochloride",-0.51784046,InputSig,NA,NA,LINCSCP_103674,HELA,3.33uM,24h
OFC_Med,Camostat Mesilate,-0.5108153,InputSig,NA,NA,LINCSCP_91603,HA1E,0.37uM,24h
OFC_Med,Pramipexole,-0.50704933,InputSig,NA,NA,LINCSCP_138278,MCF7,1.11uM,24h
OFC_Med,TIROFIBAN HYDROCHLORIDE,-0.49976903,InputSig,NA,NA,LINCSCP_105485,HELA,1.11uM,24h
OFC_Med,Felbamate,-0.48641592,InputSig,NA,NA,LINCSCP_103661,HELA,10uM,24h
OFC_Med,S18986,-0.48515869,InputSig,NA,NA,LINCSCP_122105,HT29,3.33uM,24h
OFC_Med,Avanafil,-0.48253728,InputSig,NA,NA,LINCSCP_95655,HA1E,3.33uM,24h
OFC_Med,TAK-700 (Orteronel),-0.47688426,InputSig,NA,NA,LINCSCP_138542,MCF7,1.11uM,24h
OFC_Med,Taranabant,-0.47385958,InputSig,NA,NA,LINCSCP_137730,MCF7,10uM,24h
OFC_Med,Minaprine,-0.46497941,InputSig,NA,NA,LINCSCP_122110,HT29,10uM,24h
OFC_Med,Celecoxib,-0.4606767,InputSig,NA,NA,LINCSCP_138711,MCF7,0.37uM,24h
OFC_Med,Benzamil,-0.45717513,InputSig,NA,NA,LINCSCP_92070,HA1E,1.11uM,24h
OFC_Med,Tonabersat,-0.4544513,InputSig,NA,NA,LINCSCP_103709,HELA,10uM,24h
OFC_Med,SPECTRUM_001092,-0.4491129,InputSig,NA,NA,LINCSCP_121499,HT29,10uM,24h
OFC_Med,Chlorambucil,-0.43802126,InputSig,NA,NA,LINCSCP_104086,HELA,0.04uM,24h
OFC_Med,Dipraglurant,-0.43349282,InputSig,NA,NA,LINCSCP_95588,HA1E,10uM,24h
OFC_Med,NUTLIN 3,-0.43164365,InputSig,NA,NA,LINCSCP_121169,HT29,10uM,24h
OFC_Med,Allitinib,-0.430854,InputSig,NA,NA,LINCSCP_129537,JURKAT,3.33uM,24h
OFC_Med,Clozapine,-0.42979867,InputSig,NA,NA,LINCSCP_122238,HT29,1.11uM,24h
OFC_Med,GDC-0980 (RG7422),-0.41889991,InputSig,NA,NA,LINCSCP_103234,HELA,0.12uM,24h
OFC_Med,GSK256066,-0.41504998,InputSig,NA,NA,LINCSCP_138846,MCF7,10uM,24h
OFC_Med,MLS002703105,-0.41401164,InputSig,NA,NA,LINCSCP_45264,PC3,10uM,24h
OFC_Med,Semaxanib,-0.41111181,InputSig,NA,NA,LINCSCP_95522,HA1E,10uM,24h
OFC_Med,Histamine 2HCl,-0.40012318,InputSig,NA,NA,LINCSCP_122039,HT29,3.33uM,24h
OFC_Med,BRD-A82197375,-0.39927609,InputSig,NA,NA,LINCSCP_137610,MCF7,10uM,24h
OFC_Med,CHEMBL552425,-0.39773277,InputSig,NA,NA,LINCSCP_82987,ASC.C,10uM,24h
OFC_Med,"(13S)-3-Hydroxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-one",-0.39639563,InputSig,NA,NA,LINCSCP_138868,MCF7,0.12uM,24h
OFC_Med,EXALAMIDE,-0.39456748,InputSig,NA,NA,LINCSCP_121200,HT29,3.33uM,24h
OFC_Med,Nebivolol,-0.39230701,InputSig,NA,NA,LINCSCP_92984,HA1E,10uM,24h
OFC_Med,TG100-115,-0.38853322,InputSig,NA,NA,LINCSCP_124212,HT29,3.33uM,24h
