Source,Target,Similarity,SourceSignature,SourceCellLine,SourceTime,TargetSignature,TargetCellLine,TargetConcentration,TargetTime
Sub_Overall,"376348-65-1, Uk-427857, uk427857",-0.99999251,InputSig,NA,NA,LINCSCP_169938,YAPC,10uM,24h
Sub_Overall,Refametinib,-0.99998572,InputSig,NA,NA,LINCSCP_96230,HA1E,1.11uM,24h
Sub_Overall,BRD-K30267135,-0.99997474,InputSig,NA,NA,LINCSCP_8905,A549,10uM,24h
Sub_Overall,Nifedipine,-0.99997005,InputSig,NA,NA,LINCSCP_53631,SNGM,10uM,6h
Sub_Overall,Motesanib,-0.99993324,InputSig,NA,NA,LINCSCP_36567,MCF7,0.1uM,24h
Sub_Overall,MLS001060803,-0.99992937,InputSig,NA,NA,LINCSCP_31698,MCF7,10uM,6h
Sub_Overall,Daminozide,-0.99989341,InputSig,NA,NA,LINCSCP_88905,HA1E,3.33uM,24h
Sub_Overall,CHEMBL12760,-0.99987528,InputSig,NA,NA,LINCSCP_42451,NPC,10uM,24h
Sub_Overall,Amoxapine,-0.9998412,InputSig,NA,NA,LINCSCP_44627,PC3,10uM,6h
Sub_Overall,ML100,-0.9998398,InputSig,NA,NA,LINCSCP_10661,AGS,10uM,6h
Sub_Overall,BRD-K31439714,-0.99983842,InputSig,NA,NA,LINCSCP_60281,VCAP,5uM,6h
Sub_Overall,GW3965,-0.99983685,InputSig,NA,NA,LINCSCP_44638,PC3,10uM,6h
Sub_Overall,AZD-8055,-0.99982903,InputSig,NA,NA,LINCSCP_145634,MDAMB231,3.33uM,3h
Sub_Overall,PF477736,-0.99979917,InputSig,NA,NA,LINCSCP_51953,SKBR3,10uM,6h
Sub_Overall,Mebendazole,-0.99975631,InputSig,NA,NA,LINCSCP_67546,MCF7,40uM,24h
Sub_Overall,Tacedinaline,-0.99975165,InputSig,NA,NA,LINCSCP_35513,MCF7,0.1uM,24h
Sub_Overall,SA-424380,-0.99974846,InputSig,NA,NA,LINCSCP_38135,MCF7,10uM,24h
Sub_Overall,6-(4-Hydroxy-6-methoxy-7-methyl-3-oxo-1H-2-benzofuran-5-yl)-4-methylhex-4-enoic acid,-0.99972205,InputSig,NA,NA,LINCSCP_2877,A375,10uM,6h
Sub_Overall,BRD-A94810754-001-01-2,-0.99971068,InputSig,NA,NA,LINCSCP_41477,NEU,10uM,6h
Sub_Overall,galantamine,-0.9996589,InputSig,NA,NA,LINCSCP_70491,A375,0.37uM,24h
Sub_Overall,Camptothecin,-0.99964167,InputSig,NA,NA,LINCSCP_21076,HCC515,0.01uM,6h
Sub_Overall,CHEMBL2136735,-0.99962849,InputSig,NA,NA,LINCSCP_77669,A375,3.33uM,24h
Sub_Overall,1228746-78-8,-0.99961865,InputSig,NA,NA,LINCSCP_284140,SKB,10uM,24h
Sub_Overall,BAS 01078354,-0.99961201,InputSig,NA,NA,LINCSCP_16771,HA1E,10uM,6h
Sub_Overall,Nalbuphine,-0.99960543,InputSig,NA,NA,LINCSCP_159107,PC3,1.11uM,24h
Sub_Overall,CHEMBL2152368,-0.99959592,InputSig,NA,NA,LINCSCP_9928,A549,3uM,6h
Sub_Overall,BRD-K32581454-001-01-5,-0.99959367,InputSig,NA,NA,LINCSCP_28760,HUH7,10uM,24h
Sub_Overall,HMN-214,-0.99958675,InputSig,NA,NA,LINCSCP_30069,MCF10A,0.5uM,6h
Sub_Overall,CHEMBL1698064,-0.99957307,InputSig,NA,NA,LINCSCP_31447,MCF7,10uM,6h
Sub_Overall,Imatinib,-0.99957086,InputSig,NA,NA,LINCSCP_69617,A375,0.37uM,24h
Sub_Overall,Coleoforsin,-0.99957036,InputSig,NA,NA,LINCSCP_56377,VCAP,10uM,24h
Sub_Overall,MLS000709026,-0.99954445,InputSig,NA,NA,LINCSCP_12793,DV90,40uM,6h
Sub_Overall,ZK 164015,-0.99954133,InputSig,NA,NA,LINCSCP_7270,A549,10uM,24h
Sub_Overall,Wortmannin,-0.99950151,InputSig,NA,NA,LINCSCP_64525,VCAP,20uM,48h
Sub_Overall,Genistein,-0.99949175,InputSig,NA,NA,LINCSCP_103349,HELA,0.04uM,24h
Sub_Overall,dexamethasone,-0.99948324,InputSig,NA,NA,LINCSCP_95557,HA1E,0.04uM,24h
Sub_Overall,TCS-359,-0.99947676,InputSig,NA,NA,LINCSCP_25303,HT29,10uM,24h
Sub_Overall,Enalapril,-0.99946917,InputSig,NA,NA,LINCSCP_49799,PC3,0.01uM,6h
Sub_Overall,BRD-K16741885,-0.99946011,InputSig,NA,NA,LINCSCP_300686,VCAP,5uM,24h
Sub_Overall,BRD-K54247306,-0.99944438,InputSig,NA,NA,LINCSCP_61796,VCAP,5uM,24h
Sub_Overall,AS601245,-0.99943007,InputSig,NA,NA,LINCSCP_163106,SKBR3,0.37uM,24h
Sub_Overall,MK-2206,-0.99942197,InputSig,NA,NA,LINCSCP_131243,MCF10A,3.33uM,24h
Sub_Overall,Afatinib,-0.99939263,InputSig,NA,NA,LINCSCP_159083,PC3,1.11uM,24h
Sub_Overall,Pictilisib,-0.99938829,InputSig,NA,NA,LINCSCP_81445,A549,0.37uM,24h
Sub_Overall,2-(4-Nitro-phenylamino)-benzoic acid,-0.99937338,InputSig,NA,NA,LINCSCP_55396,U937,3uM,6h
Sub_Overall,ABT737,-0.99933532,InputSig,NA,NA,LINCSCP_4554,A549,10uM,24h
Sub_Overall,Ipatasertib,-0.99931627,InputSig,NA,NA,LINCSCP_88349,HA1E,1.11uM,24h
Sub_Overall,SR-02000000367,-0.9993131,InputSig,NA,NA,LINCSCP_188938,A549,10uM,24h
Sub_Overall,CHIR-265,-0.99927421,InputSig,NA,NA,LINCSCP_87450,CD34,3.33uM,24h
Sub_Overall,VE-821,-0.99924945,InputSig,NA,NA,LINCSCP_87196,CD34,10uM,24h
Sub_Overall,BRD-K60391168,-0.99923828,InputSig,NA,NA,LINCSCP_62900,VCAP,5uM,24h
Sub_Overall,F1394-0084,-0.99923571,InputSig,NA,NA,LINCSCP_40846,NEU,10uM,24h
Sub_Overall,MLS002703118,-0.99921236,InputSig,NA,NA,LINCSCP_57289,VCAP,10uM,24h
Sub_Overall,Dasatinib,-0.99920484,InputSig,NA,NA,LINCSCP_150010,NPC.TAK,10uM,24h
