Name_GeneSymbol,AI,AI_Pval,CG,CG_Pval,DLPFC,DLPFC_Pval,NAC,NA_Pval,OFC,OFC_Pval,SUB,SUB_Pval
INTS3,0.974974918530508,0.0636057515448907,0,0,0,0,0,0,0,0,0,0
S100A4,0.526264165178243,0.472250592924465,0.496258241973876,0.676490567641895,0.619065503425338,0.561525118643921,0,0,0.450133363552827,0.558118668556837,0.89309453667179,0.488380239049179
COL1A1,0.432613861509827,0.559092035248878,0,0,0.52210733126827,0.472847972989888,2.09211554531807,0.0787473343726191,0,0,0,0
GATA2,0.397589334281312,0.485293068756187,0,0,0,0,0,0,0,0,0,0
LAMA3,0.374781224004198,0.0276984288267474,0,0,0,0,0,0,0,0,0,0
ICAM1,0.352831353303924,0.452476974437279,0.386666345861594,0.637087125074053,0,0,0,0,0,0,0,0
CD58,0.329371386575197,0.405100263196197,0,0,0,0,1.48435782655443,0.107568370856104,-0.00150847351249591,0.997091248624771,0,0
NOS3,0.325758526109976,0.516043264464631,0,0,0,0,0,0,0.482902737764096,0.359242232108078,0,0
KIF2C,0.29470979071086,0.569605629277322,0,0,-0.0204755540527298,0.978772795967715,0,0,0.354863939078763,0.498744979279361,0,0
RAC2,0.283471944706399,0.70055230160989,0,0,0,0,0,0,0.225726741131853,0.753305133978566,0,0
SERPINE1,0.266382020874173,0.672537588766814,0,0,0.64557244410372,0.394914629108832,0,0,0,0,0,0
BDH1,0.261790839805955,0.239682020959142,0,0,0,0,0,0,0,0,-0.0130607763955303,0.972799730583925
EDN1,0.257381932184245,0.342456181039447,0.573665194074875,0.193829561315644,0,0,0,0,0,0,0.407139692348427,0.415249419348012
MKNK1,0.250485129352513,0.0652677029615226,0,0,0,0,-0.0215897975101597,0.971789627823156,0,0,0,0
CCL2,0.24636153252194,0.710700740288136,0,0,0,0,1.93521599937634,0.140289170239071,0.241529587795558,0.733986004786054,0,0
MYL9,0.243683030539578,0.723092872238348,0,0,0.408417096975319,0.52917346427614,0,0,0.493033360302207,0.303753003748346,0.428495699529095,0.56455420809294
TSPAN4,0.242126856225664,0.615848877811498,0,0,0,0,0,0,0,0,0.489503154887711,0.560575519035613
