signatureID,ID_geneid,Name_GeneSymbol,Value_LogDiffExp,Significance_pvalue
InputSig,51335,NGRN,-0.0466656836564963,0.425494946563331
InputSig,51005,AMDHD2,-0.0236006524310384,0.935681510943261
InputSig,56940,DUSP22,-0.0106974340806991,0.885651596811106
InputSig,23271,CAMSAP2,-0.0228541026542567,0.602819373132661
InputSig,10285,SMNDC1,-0.0137032314054626,0.905916004822603
InputSig,10525,HYOU1,-0.0304555898891132,0.520278116888492
InputSig,3251,HPRT1,-0.0257605860446363,0.677050108861561
InputSig,351,APP,-0.0410880923518488,0.552151654777823
InputSig,6119,RPA3,-0.0430189995713518,0.79090369150862
InputSig,54915,YTHDF1,-0.0178986522008349,0.814373634812361
InputSig,9653,HS2ST1,-0.0279815195544158,0.627646690780133
InputSig,23635,SSBP2,-0.0148042308349032,0.777362625340482
InputSig,4836,NMT1,-0.0219262600260872,0.679400605777494
InputSig,8503,PIK3R3,-7.3608749787486e-4,0.99288780245988
InputSig,3454,IFNAR1,-0.00734851494865281,0.851101569074324
InputSig,10652,YKT6,-0.00108280095561649,0.991557703487678
InputSig,5261,PHKG2,-0.0120924485499682,0.929388531265413
InputSig,23038,WDTC1,-0.0131620295819113,0.845960455805587
InputSig,10227,MFSD10,-0.0145273443865648,0.941277789112584
InputSig,310,ANXA7,-0.028717519111324,0.637528805021966
InputSig,6390,SDHB,-0.0313778661529211,0.672759361156372
InputSig,2673,GFPT1,-0.0319493860042363,0.491861683143227
InputSig,5927,KDM5A,-0.0168500451981949,0.629925010266282
InputSig,10362,HMG20B,-0.0386406223330283,0.837141387313407
InputSig,63933,MCUR1,-0.0105395186053309,0.863925612004285
InputSig,3091,HIF1A,-0.0428870701410806,0.303896386123893
InputSig,427,ASAH1,-0.0288350811669805,0.651597025574735
InputSig,2523,FUT1,-0.0267621641220404,0.875046455078725
InputSig,10174,SORBS3,-0.0232471311795664,0.893932935512238
InputSig,9467,SH3BP5,-0.0115449106230671,0.924716626644742
InputSig,4208,MEF2C,-0.014654305891991,0.839282148355039
InputSig,55699,IARS2,-0.0141579942584671,0.809593182715898
InputSig,9917,FAM20B,-0.0260628535851483,0.670117095682914
InputSig,23585,TMEM50A,-0.0101786905042153,0.934336508416983
InputSig,7376,NR1H2,-0.0303702825237534,0.815684069227047
InputSig,55038,CDCA4,-0.0258442592560745,0.936937017491525
InputSig,23443,SLC35A3,-0.0211791165088862,0.794810581435142
InputSig,5708,PSMD2,-0.0213227909942051,0.644067663833229
InputSig,7852,CXCR4,-0.0100063360205979,0.970763073987402
InputSig,1861,TOR1A,-0.00540712064941748,0.949034284701131
InputSig,4794,NFKBIE,-0.01139603384332,0.951996549013672
InputSig,3329,HSPD1,-0.0435122198204217,0.399845249660639
InputSig,27095,TRAPPC3,-0.0336277047524482,0.727701358416406
InputSig,6251,RSU1,-0.0124551658587534,0.878124022484664
InputSig,27244,SESN1,-0.040476947348658,0.607244925744871
InputSig,2582,GALE,-0.0167241016695205,0.946496114245046
InputSig,4690,NCK1,-0.00638443467880591,0.943621534185161
InputSig,6772,STAT1,-0.0379394935175369,0.464631022671891
InputSig,5985,RFC5,-0.00449651501018032,0.968659184163933
InputSig,8508,NIPSNAP1,-0.00360464353581923,0.958176374515051
InputSig,9270,ITGB1BP1,-0.0215110317357689,0.747418001353083
InputSig,6193,RPS5,-0.0013844707663938601,0.991655715593556
InputSig,55818,KDM3A,-0.00329841274926002,0.951230931713245
InputSig,2896,GRN,-0.00593206407099208,0.973378640440888
InputSig,8520,HAT1,-0.0216078997362939,0.789682009447383
InputSig,1445,CSK,-0.00562011113003019,0.970765735488361
InputSig,5236,PGM1,-0.00820329956721021,0.916806196356966
InputSig,596,BCL2,-0.0409431789056883,0.637884380646563
InputSig,323,APBB2,-0.0190050388703838,0.692936439010652
InputSig,9053,MAP7,-0.00904391301865056,0.864966001812832
InputSig,9686,VGLL4,-0.0210741844669221,0.80269327853385
InputSig,10845,CLPX,-0.0295873036902969,0.608513957195807
InputSig,11031,RAB31,-0.00614131400377033,0.940647957016283
InputSig,8440,NCK2,-0.0172521562868802,0.818643532003184
InputSig,10813,UTP14A,-0.0194950222843328,0.865082838560761
InputSig,9019,MPZL1,-6.0559599971203e-4,0.994966000272114
InputSig,23013,SPEN,-0.0320868220990094,0.698319387483453
InputSig,79094,CHAC1,-0.00464295046255343,0.985068723274256
InputSig,466,ATF1,-0.00348071523711336,0.975251644921675
InputSig,10046,MAMLD1,-0.0411964458646849,0.798014427959732
InputSig,5096,PCCB,-0.0190062595998372,0.825853494360134
InputSig,55127,HEATR1,-0.00616682863823794,0.933899357670825
InputSig,6194,RPS6,-0.00340099756685111,0.955715776515963
InputSig,54442,KCTD5,-0.00487414432253819,0.975840955944325
InputSig,23142,DCUN1D4,-0.0254066205032895,0.582023749873294
InputSig,8607,RUVBL1,-0.0171338446444318,0.859796903283437
InputSig,5716,PSMD10,-0.0389486959091459,0.628457797484438
InputSig,8202,NCOA3,-0.0232465441200686,0.725653388910149
InputSig,51465,UBE2J1,-0.0373215524554729,0.589987643743925
InputSig,3098,HK1,-0.0160050040979451,0.797840226404275
InputSig,2195,FAT1,-0.0141899176183759,0.843593368830479
InputSig,7866,IFRD2,-0.00166922915145322,0.995208869522249
InputSig,11319,ECD,-0.0433872908336941,0.532510953424036
InputSig,27346,TMEM97,-0.0153291557666716,0.907192846669929
InputSig,5898,RALA,-0.0216184275146464,0.765436217241386
InputSig,8573,CASK,-0.0135453302903532,0.785676431744114
InputSig,23210,JMJD6,-0.0298449043871076,0.723677351392683
InputSig,5440,POLR2K,-0.00350463246860862,0.966153922981565
InputSig,51569,UFM1,-0.0203470109830137,0.797149035975639
InputSig,9533,POLR1C,-0.0415819137049929,0.777967995923962
InputSig,10494,STK25,-0.00246662249420132,0.960697732808968
