signatureID,ID_geneid,Name_GeneSymbol,Value_LogDiffExp,Significance_pvalue
InputSig,5300,PIN1,0.0513849151831531,0.582061240949834
InputSig,23149,FCHO1,0.0340096702205126,0.862452806739664
InputSig,55012,PPP2R3C,0.0485780603734902,0.695102961088154
InputSig,4860,PNP,0.0935287891517678,0.765550546381656
InputSig,56940,DUSP22,0.067823563362996,0.534007335346894
InputSig,51385,ZNF589,0.089211145395623,0.532456312223156
InputSig,8569,MKNK1,0.1963077447071,0.214542317049262
InputSig,3385,ICAM3,0.083803826430848,0.871019006017073
InputSig,54681,P4HTM,0.005401775644727,0.966850503709922
InputSig,868,CBLB,0.0837699841167431,0.614324681718775
InputSig,4780,NFE2L2,0.0509068675511121,0.679267035562751
InputSig,5331,PLCB3,0.0927127136113226,0.709450904022389
InputSig,501,ALDH7A1,0.111195638852569,0.385680058444064
InputSig,22905,EPN2,0.0558860227341552,0.542087756200853
InputSig,23659,PLA2G15,0.0823495398719232,0.745117220453911
InputSig,2063,NR2F6,0.068577033756151,0.793351974030897
InputSig,26520,TIMM9,0.0329130449603597,0.870960622820071
InputSig,9653,HS2ST1,0.0176222155210173,0.815200303243909
InputSig,23635,SSBP2,0.00284471311403238,0.974802965776303
InputSig,890,CCNA2,0.197250281272493,0.649046418201842
InputSig,11073,TOPBP1,0.00683640722568251,0.950656628306938
InputSig,3454,IFNAR1,0.0555851224729319,0.43219748804056
InputSig,991,CDC20,0.381312189223085,0.654435204930397
InputSig,23658,LSM5,0.0359101665512204,0.863166059925438
InputSig,1019,CDK4,0.0571491919902517,0.787055473261818
InputSig,6275,S100A4,0.364883428427342,0.642850375104032
InputSig,10652,YKT6,0.00746559962090662,0.938015210780756
InputSig,5261,PHKG2,0.0581624631203202,0.775518474867348
InputSig,5467,PPARD,0.124374414388117,0.424344762263802
InputSig,5891,MOK,7.048412801825e-4,0.996180069996586
InputSig,55837,EAPP,0.0141267005799122,0.898350876761474
InputSig,2184,FAH,0.0952385680874957,0.779279681281169
InputSig,1070,CETN3,0.19602110547064,0.195176337547308
