signatureID,ID_geneid,Name_GeneSymbol,Value_LogDiffExp,Significance_pvalue
InputSig,6119,RPA3,0.233504005727418,0.361651379943213
InputSig,890,CCNA2,0.19987946037379,0.64613663708273406
InputSig,991,CDC20,0.328193707703323,0.721592751473741
InputSig,6275,S100A4,1.05943200170589,0.274426485866766
InputSig,2184,FAH,0.221516413780673,0.536895611986194
InputSig,7105,TSPAN6,0.199180367036522,0.404988668414576
InputSig,5321,PLA2G4A,0.32858489512559,0.34752603817722
InputSig,5720,PSME1,0.185483355594391,0.323798795722305
InputSig,1429,CRYZ,0.204674109216285,0.28711309523553
InputSig,10112,KIF20A,0.283333739542435,0.740338335052128
InputSig,6850,SYK,0.330075377191943,0.301791339909494
InputSig,10451,VAV3,0.289054961546928,0.134457199764711
InputSig,27095,TRAPPC3,0.183572372080176,0.250859654517114
InputSig,79961,DENND2D,0.384822558299583,0.492285671701049
InputSig,5583,PRKCH,0.399276047762575,0.135024030570551
InputSig,6193,RPS5,0.208977005838084,0.0881568225036106
InputSig,2065,ERBB3,0.20233778549599,0.549158462781235
InputSig,6697,SPR,0.483606222443333,0.202072417056112
InputSig,5359,PLSCR1,0.20720655479755,0.335169638772106
InputSig,3028,HSD17B10,0.194442416595167,0.447158885333794
InputSig,8396,PIP4K2B,0.220261425848296,0.805407944609382
InputSig,6790,AURKA,0.24592783653338,0.589953396155083
InputSig,5092,PCBD1,0.262817277283531,0.317498958062933
InputSig,1829,DSG2,0.265663725284323,0.641503072511895
InputSig,9918,NCAPD2,0.216966268920512,0.237594010568033
InputSig,727,C5,0.184200729520398,0.316752831474833
InputSig,51282,SCAND1,0.252895304259882,0.539365897449873
InputSig,7157,TP53,0.332036259741897,0.391829880119999
InputSig,5588,PRKCQ,0.18521426412057,0.392730850830727
InputSig,847,CAT,0.269848486888649,0.194045047784446
InputSig,10099,TSPAN3,0.231454392364435,0.0350257903569733
InputSig,25932,CLIC4,0.301838369809543,0.245101025102019
InputSig,843,CASP10,0.231095776534076,0.467394370392124
InputSig,79094,CHAC1,0.473613780353334,0.358456209154011
InputSig,51293,CD320,0.406961994816666,0.441212087093806
InputSig,5096,PCCB,0.207082337972669,0.207714251306263
InputSig,54442,KCTD5,0.237633664796582,0.328834218795651
InputSig,8607,RUVBL1,0.217760722115209,0.180090221373589
InputSig,7082,TJP1,0.509336529954694,0.182474699985567
InputSig,3383,ICAM1,0.544570535365345,0.227516256228409
InputSig,7866,IFRD2,0.248807573171315,0.602233575289988
InputSig,10320,IKZF1,0.492449625273276,0.115860085097274
InputSig,840,CASP7,0.384729915144935,0.174858736760088
InputSig,965,CD58,0.196443487308148,0.682196400907903
InputSig,348,APOE,0.191504133527022,0.355616435573708
InputSig,6195,RPS6KA1,0.223403030883387,0.476731727653798
InputSig,5547,PRCP,0.249598846426738,0.0444724475634342
InputSig,701,BUB1B,0.245685371930456,0.727938503923805
InputSig,2946,GSTM2,0.24313977515155,0.181815505933128
InputSig,5788,PTPRC,0.339524567447841,0.304667082437144
InputSig,9134,CCNE2,0.200263231438025,0.44609712619143
InputSig,5255,PHKA1,0.330853188997286,0.128658987955013
InputSig,1277,COL1A1,0.690002038991044,0.307849662568465
InputSig,960,CD44,0.733213989843393,0.185826252130604
InputSig,9641,IKBKE,0.493702763112432,0.291102902843474
InputSig,581,BAX,0.208600983799086,0.66722726830983
InputSig,7048,TGFBR2,0.361908752289735,0.144851168017407
InputSig,6813,STXBP2,0.60030525805715,0.322307581275286
InputSig,10489,LRRC41,6.01871812627544e-5,0.999417400755399
InputSig,10493,VAT1,0.365949649397511,0.143182053974128
InputSig,1017,CDK2,0.468514750271725,0.392351419642201
InputSig,5366,PMAIP1,0.215465693147087,0.738518388032217
InputSig,11200,CHEK2,0.291793204210898,0.586639714903915
InputSig,51024,FIS1,0.218169944832647,0.139903835185152
InputSig,51015,ISOC1,0.202512506505704,0.294631427411346
InputSig,29937,NENF,0.198096871573795,0.268625503463746
InputSig,3597,IL13RA1,0.276602183554151,0.287929093315909
InputSig,10644,IGF2BP2,0.293597604307852,0.50609207431936
InputSig,6696,SPP1,0.487676840389748,0.220736194094675
InputSig,5796,PTPRK,0.84131633184188,0.127653599744211
InputSig,695,BTK,0.331337202362092,0.390529348408996
InputSig,2954,GSTZ1,0.210194555517006,0.608535733393833
InputSig,572,BAD,0.203710489922313,0.619711851297633
InputSig,26136,TES,0.252297645173754,0.653261230270366
InputSig,8800,PEX11A,0.185741499128596,0.380300007621672
InputSig,25825,BACE2,0.306362543496615,0.317250052451198
InputSig,154,ADRB2,0.571939923567417,0.111576340562636
InputSig,6284,S100A13,0.393331829356415,0.0328806883485822
InputSig,1050,CEBPA,0.189979313771238,0.618211902997301
InputSig,993,CDC25A,0.23570481138541,0.636298639690308
InputSig,10732,TCFL5,0.197533117424183,0.205716398333494
InputSig,6856,SYPL1,0.301113050064421,0.102291543185179
InputSig,22827,PUF60,0.754333720522565,0.191955575565207
InputSig,6347,CCL2,0.656073494338205,0.320164992431783
InputSig,10954,PDIA5,0.539444495336119,0.176048538566796
InputSig,10797,MTHFD2,0.476827587658252,0.149479408552594
InputSig,3162,HMOX1,0.250894768277835,0.62138214086095
InputSig,3553,IL1B,1.30385578444205,0.0550308430673076
InputSig,9650,MTFR1,0.310766372573557,0.235895734519219
InputSig,7538,ZFP36,0.190872830320778,0.757643024770142
InputSig,10610,ST6GALNAC2,0.528537665966719,0.306202425291155
InputSig,29763,PACSIN3,0.214070559167301,0.496519754845178
