signatureID,ID_geneid,Name_GeneSymbol,Value_LogDiffExp,Significance_pvalue
InputSig,4125,MAN2B1,-0.004028039,0.981914997
InputSig,8569,MKNK1,-0.009336103,0.938775597
InputSig,2770,GNAI1,-0.00881541,0.923410582
InputSig,9653,HS2ST1,-0.010450861,0.854437878
InputSig,25,ABL1,-0.00554407,0.958867474
InputSig,5261,PHKG2,-0.003160342,0.984613811
InputSig,2184,FAH,-0.006563792,0.977447395
InputSig,2745,GLRX,-0.004334688,0.976024317
InputSig,10227,MFSD10,-0.00509593,0.986219792
InputSig,10606,PAICS,-0.010818685,0.868475587
InputSig,4851,NOTCH1,-0.012195027,0.920781554
InputSig,1906,EDN1,-0.002501316,0.989457401
InputSig,51719,CAB39,-0.00118281,0.980000744
InputSig,902,CCNH,-0.013070381,0.783937404
InputSig,2810,SFN,-0.012135706,0.979011999
InputSig,29082,CHMP4A,-0.010489701,0.877497096
InputSig,10451,VAV3,-0.01326853,0.863706539
InputSig,23378,RRP8,-0.008871915,0.95314964
InputSig,23300,ATMIN,-0.01291605,0.791899912
InputSig,5347,PLK1,-0.003983441,0.992583823
InputSig,4775,NFATC3,-0.012601499,0.873600795
InputSig,3028,HSD17B10,-0.004021938,0.979931271
InputSig,10898,CPSF4,-0.010634359,0.959211673
InputSig,1385,CREB1,-0.010995402,0.834347259
InputSig,4067,LYN,-0.005821951,0.968288212
InputSig,207,AKT1,-0.00588685,0.939270931
InputSig,8440,NCK2,-0.006719143,0.948648118
InputSig,55256,ADI1,-0.004446674,0.973764241
InputSig,23365,ARHGEF12,-0.009130211,0.795546311
InputSig,8061,FOSL1,-0.004894617,0.993037531
InputSig,10813,UTP14A,-0.005035768,0.958688728
InputSig,7750,ZMYM2,-0.001633478,0.95742583
InputSig,26054,SENP6,-0.005087788,0.884073742
InputSig,9690,UBE3C,-0.013206183,0.767195048
InputSig,51293,CD320,-0.013510497,0.970356202
InputSig,2908,NR3C1,-0.004241139,0.933274635
InputSig,10398,MYL9,-3.63767e-4,0.998961522
InputSig,3383,ICAM1,-0.001594925,0.994929983
InputSig,10782,ZNF274,-0.009734283,0.933521712
InputSig,27346,TMEM97,-0.001780284,0.992201485
InputSig,8573,CASK,-0.011579119,0.822168756
InputSig,7165,TPD52L2,-0.001596434,0.986735835
InputSig,7994,KAT6A,-0.003033739,0.937723412
InputSig,2771,GNAI2,-0.009634139,0.848835945
InputSig,6500,SKP1,-0.001402786,0.971027468
InputSig,230,ALDOC,-0.007495428,0.90743978300000006
InputSig,10007,GNPDA1,-0.004486843,0.962431011
InputSig,10131,TRAP1,-0.009684678,0.857189025
InputSig,4792,NFKBIA,-0.011798374,0.917116602
InputSig,1399,CRKL,-0.006218914,0.877719903
InputSig,10969,EBNA1BP2,-4.97281e-4,0.99100573
InputSig,23530,NNT,-0.008269571,0.861418285
InputSig,4651,MYO10,-0.004563856,0.948088493
InputSig,81544,GDPD5,-0.013526846,0.950795034
InputSig,8318,CDC45,-0.007256081,0.988996699
InputSig,2037,EPB41L2,-0.011233857,0.839776943
InputSig,10491,CRTAP,-1.35203e-4,0.997937044
InputSig,9261,MAPKAPK2,-0.008806325,0.9502438
InputSig,51031,GLOD4,-0.002422404,0.970148047
InputSig,10668,CGRRF1,-0.005154568,0.95701536
InputSig,54623,PAF1,-0.007353852,0.927020556
InputSig,2115,ETV1,-0.003270701,0.973779966
InputSig,9688,NUP93,-0.009590654,0.873962628
InputSig,23014,FBXO21,-0.002626548,0.965506672
InputSig,142,PARP1,-0.006886862,0.862226443
InputSig,26001,RNF167,-0.010230577,0.930550695
InputSig,23212,RRS1,-0.010650777,0.946330969
InputSig,8624,PSMG1,-0.010205476,0.943624565
InputSig,79174,CRELD2,-0.005296448,0.964780374
InputSig,7905,REEP5,-0.006007024,0.922792148
InputSig,1786,DNMT1,-0.006722502,0.939242051
InputSig,85377,MICALL1,-0.010136979,0.953508157
InputSig,291,SLC25A4,-0.004934865,0.941809355
InputSig,79643,CHMP6,-0.012024322,0.972294407
InputSig,8446,DUSP11,-0.001859892,0.985348086
InputSig,64429,ZDHHC6,-0.004744714,0.95739012
InputSig,47,ACLY,-0.00652415,0.922777922
InputSig,8243,SMC1A,-0.007280537,0.870229736
InputSig,8884,SLC5A6,-1.46423e-4,0.999203016
InputSig,8731,RNMT,-0.00808245,0.847719603
InputSig,55556,ENOSF1,-0.007298866,0.947474538
InputSig,9181,ARHGEF2,-0.006370117,0.936593296
InputSig,10953,TOMM34,-0.004598597,0.942266384
InputSig,29911,HOOK2,-0.006224542,0.974877554
InputSig,10058,ABCB6,-0.007262477,0.938435492
InputSig,10818,FRS2,-0.003124402,0.939639984
InputSig,1662,DDX10,-0.01197671,0.826112498
InputSig,55011,PIH1D1,-0.009845071,0.939694656
InputSig,2017,CTTN,-0.006612744,0.879580057
InputSig,1282,COL4A1,-0.006160805,0.970928347
InputSig,7982,ST7,-2.91827e-4,0.99784655
InputSig,533,ATP6V0B,-0.007165315,0.95239793
