signatureID,ID_geneid,Name_GeneSymbol,Value_LogDiffExp,Significance_pvalue
InputSig,6714,SRC,-0.0791804897716672,0.79816318326177
InputSig,23039,XPO7,-0.0628059547271698,0.52975783937102
InputSig,51335,NGRN,-0.0327373859562511,0.80478390542648
InputSig,55012,PPP2R3C,-0.0145408415819069,0.942708454213815
InputSig,56940,DUSP22,-0.0777162337777061,0.681476268081663
InputSig,54681,P4HTM,-0.0779664555490173,0.690040264175602
InputSig,22841,RAB11FIP2,-0.0497483063284996,0.653542215024083
InputSig,3251,HPRT1,-0.00307101426812382,0.986810059422321
InputSig,22905,EPN2,-0.0245879535209874,0.885949488157713
InputSig,2063,NR2F6,-0.0571317534433293,0.916608774473707
InputSig,55958,KLHL9,-0.0576608940534932,0.738452370286801
InputSig,9653,HS2ST1,-0.0720342314275641,0.514167138908629
InputSig,6832,SUPV3L1,-0.0422826583736738,0.798869799219296
InputSig,25,ABL1,-0.0221977140979815,0.927775416013799
InputSig,3454,IFNAR1,-0.0534496943176352,0.617022061814515
InputSig,10652,YKT6,-0.0418635917685535,0.832997698982065
InputSig,23038,WDTC1,-0.0254458703779185,0.904005095192817
InputSig,55837,EAPP,-0.0564894535211714,0.747160318887048
InputSig,3157,HMGCS1,-0.00668797851236036,0.962355866882543
InputSig,29083,GTPBP8,-0.0897597468363667,0.802348243556974
InputSig,51422,PRKAG2,-0.0316783161777618,0.829547234855335
InputSig,51056,LAP3,-0.0999555969992996,0.510564727683612
InputSig,80758,PRR7,-0.0040120157890448,0.990309510275089
InputSig,7016,TESK1,-0.0202578933463574,0.956443858693482
InputSig,51495,HACD3,-0.0226841058718199,0.896094495343661
InputSig,1500,CTNND1,-0.0564455835217556,0.884392884686749
InputSig,902,CCNH,-0.0221831379298446,0.840958080010326
InputSig,51021,MRPS16,-0.0169313693120168,0.917895538360977
InputSig,8720,MBTPS1,-0.0190996891164571,0.871952983126141
InputSig,427,ASAH1,-0.0229565343618113,0.893055608198996
InputSig,5720,PSME1,-0.0904797844345263,0.76055943266525
InputSig,3337,DNAJB1,-0.0588853197204512,0.762106897237758
InputSig,9519,TBPL1,-0.0683050148471004,0.756770960226339
InputSig,5048,PAFAH1B1,-0.0952968742691786,0.347149499228393
InputSig,57147,SCYL3,-0.0131551489709571,0.953265152275554
InputSig,23443,SLC35A3,-0.0411891506676975,0.808609743887909
InputSig,23300,ATMIN,-0.0257338092688958,0.836629820706317
InputSig,23597,ACOT9,-0.0118007199463169,0.965148560088877
InputSig,27095,TRAPPC3,-0.0746616478287045,0.720138165438818
InputSig,27244,SESN1,-0.0794852184380489,0.580125849748384
InputSig,3482,IGF2R,-0.0963431003619308,0.465225028650114
InputSig,1643,DDB2,-0.0355246217750996,0.947797776284275
InputSig,4690,NCK1,-0.0202901781649573,0.92496827480662
InputSig,6772,STAT1,-0.0294370752815063,0.8350383981051
InputSig,5985,RFC5,-0.0384555606092883,0.884258434073956
InputSig,29890,RBM15B,-0.058258378795143,0.798468179554011
InputSig,128,ADH5,-0.0573497139918294,0.716643840511714
InputSig,8550,MAPKAPK5,-0.027941371312429,0.876222493593438
InputSig,2065,ERBB3,-0.00795027145104233,0.98286473791641
InputSig,8520,HAT1,-0.0442129792370707,0.77753758880727
InputSig,4067,LYN,-0.0986015243033397,0.78155968484577
InputSig,323,APBB2,-0.0115250644650909,0.929158347150502
InputSig,5092,PCBD1,-0.0696845123263042,0.883827279527307
InputSig,9918,NCAPD2,-0.0686260460943647,0.784002242272785
InputSig,9053,MAP7,-0.0870478634030194,0.531893843236501
InputSig,22796,COG2,-0.0192051709343732,0.916948847212576
InputSig,9702,CEP57,-0.0294823635229158,0.829013453711928
InputSig,11011,TLK2,-0.0573299714097401,0.641985648995966
InputSig,9448,MAP4K4,-0.0629232635771439,0.790044326111104
InputSig,4927,NUP88,-0.016568082447533,0.927993708819415
InputSig,23365,ARHGEF12,-0.0847474594593873,0.447096105527504
InputSig,51070,NOSIP,-0.0999980600850834,0.771828968905432
InputSig,10730,YME1L1,-0.0440068929540621,0.740278458142967
InputSig,5096,PCCB,-0.093450716891312,0.714595669359477
InputSig,3628,INPP1,-0.0877471335756253,0.699924492095462
InputSig,55127,HEATR1,-0.0656844718692938,0.596644730248473
InputSig,6194,RPS6,-0.00276273267783047,0.986568470758659
InputSig,10617,STAMBP,-0.0603242763435529,0.719839985926706
InputSig,23142,DCUN1D4,-0.0382804845066402,0.743607718698802
InputSig,7511,XPNPEP1,-0.0716517957898751,0.687079605735686
InputSig,4482,MSRA,-0.0532559432332311,0.819860113394777
InputSig,10165,SLC25A13,-0.0578450225173723,0.806394365531493
InputSig,10318,TNIP1,-0.0782206207556558,0.772737359490322
InputSig,29103,DNAJC15,-0.0977005644691526,0.629390331897393
InputSig,2195,FAT1,-0.00196707814606901,0.988818918969203
InputSig,55746,NUP133,-0.0516483733430324,0.694592189717615
InputSig,7027,TFDP1,-0.0239023709903379,0.907283439019104
InputSig,10320,IKZF1,-0.0787266391738636,0.836296285752678
InputSig,9915,ARNT2,-0.0759131236883271,0.658979794175522
InputSig,3398,ID2,-0.0908821348958025,0.730053399727028
InputSig,5883,RAD9A,-0.0538979146823141,0.93887304747139
InputSig,11319,ECD,-0.0366607180050509,0.778212668345031
InputSig,27346,TMEM97,-0.0224148233782503,0.959368458867362
InputSig,5468,PPARG,-0.0459713623261249,0.917911145032676
InputSig,10892,MALT1,-0.0451125560065442,0.803695259516758
InputSig,10057,ABCC5,-0.0170414362804855,0.929364861204181
InputSig,10434,LYPLA1,-0.0233427736372154,0.934538451532161
InputSig,1027,CDKN1B,-0.02740456680489,0.85615463768242706
InputSig,51569,UFM1,-0.0161065398697259,0.932672261844938
InputSig,26036,ZNF451,-0.0558621306538634,0.570294550460003
InputSig,10494,STK25,-0.0318201285838001,0.83682882197477
InputSig,23326,USP22,-0.0182891641232233,0.850555958039997
InputSig,55111,PLEKHJ1,-0.0416933788048333,0.927177398269252
InputSig,8804,CREG1,-0.0598715746186532,0.701763501297416
InputSig,89910,UBE3B,-0.0556003394914664,0.729120535826835
InputSig,54386,TERF2IP,-0.0500435022856943,0.730649336272566
InputSig,5547,PRCP,-0.0934311125767501,0.679070534836239
InputSig,10276,NET1,-0.00257068806400807,0.990327799847076
InputSig,25839,COG4,-0.0900034005834942,0.609776602372207
InputSig,5018,OXA1L,-0.0415857782707859,0.861131548922311
InputSig,8985,PLOD3,-0.0829892066802916,0.849457845545755
InputSig,5921,RASA1,-0.0460530790855453,0.638729981415868
InputSig,823,CAPN1,-0.0148639353780085,0.957004156242204
InputSig,6500,SKP1,-0.0909777220606238,0.450347400558899
InputSig,9246,UBE2L6,-0.00868521323732365,0.972587456900042
InputSig,10237,SLC35B1,-0.0978186529323669,0.711791731711909
InputSig,10049,DNAJB6,-0.100579251436294,0.548374434648494
InputSig,3416,IDE,-0.0814145427384816,0.584469468934745
InputSig,1759,DNM1,-0.0066549597820136,0.968325050241597
InputSig,22823,MTF2,-0.00119602390775025,0.991943323857714
InputSig,66008,TRAK2,-0.0593974465526499,0.657763907038069
InputSig,9761,MLEC,-0.00744531357847708,0.948503491250377
InputSig,10973,ASCC3,-0.0434436592576503,0.764131278496474
InputSig,55608,ANKRD10,-0.0695035988470506,0.60460228872152
InputSig,10131,TRAP1,-0.0872807805483062,0.484096851142868
InputSig,9183,ZW10,-0.0239669368398215,0.90526801547014
InputSig,50813,COPS7A,-0.0251587135523211,0.889893757252379
InputSig,949,SCARB1,-0.0351756354158268,0.901300433342437
InputSig,10146,G3BP1,-0.00784058850421996,0.95982298470288
InputSig,30836,DNTTIP2,-0.0742385742916232,0.629018001481106
InputSig,10857,PGRMC1,-0.0979028466872473,0.610630694160012
InputSig,64781,CERK,-0.0895642604828599,0.591186432802932
