signatureID,ID_geneid,Name_GeneSymbol,Value_LogDiffExp,Significance_pvalue
InputSig,8569,MKNK1,-0.021589798,0.971789628
InputSig,7077,TIMP2,-0.002202576,0.995130787
InputSig,10606,PAICS,-0.049126751,0.844174656
InputSig,57192,MCOLN1,-0.0330017,0.968724872
InputSig,22934,RPIA,-0.034566204,0.96733105
InputSig,55038,CDCA4,-0.031255424,0.98420821
InputSig,1647,GADD45A,-0.026984298,0.956328954
InputSig,55825,PECR,-0.001918919,0.997772468
InputSig,1385,CREB1,-0.059706638,0.750555304
InputSig,10813,UTP14A,-0.008193128,0.983380878
InputSig,10099,TSPAN3,-0.050163132,0.803926115
InputSig,26054,SENP6,-0.028823659,0.869213689
InputSig,10046,MAMLD1,-0.025471661,0.973571686
InputSig,7511,XPNPEP1,-0.038650662,0.902118785
InputSig,55746,NUP133,-0.032196328,0.874018125
InputSig,7866,IFRD2,-0.046517264,0.961403791
InputSig,7165,TPD52L2,-0.058844759,0.830400468
InputSig,9552,SPAG7,-0.042739337,0.900407602
InputSig,5018,OXA1L,-0.017160938,0.971305548
InputSig,2769,GNA15,-0.034357761,0.980525479
InputSig,5827,PXMP2,-0.051828805,0.95546111
InputSig,9761,MLEC,-0.021154476,0.902878694
InputSig,55608,ANKRD10,-0.060130326,0.838627936
InputSig,23410,SIRT3,-0.043391375,0.915131639
InputSig,10150,MBNL2,-0.045168359,0.810379604
InputSig,6777,STAT5B,-0.010725612,0.963558272
InputSig,54499,TMCO1,-0.021117007,0.91498337
InputSig,23636,NUP62,-0.002028674,0.996110886
InputSig,329,BIRC2,-0.054915191,0.801006144
InputSig,26511,CHIC2,-0.05508133,0.920829848
InputSig,57804,POLD4,-0.017894596,0.981663082
InputSig,26001,RNF167,-0.049229083,0.888576857
InputSig,23212,RRS1,-0.035089786,0.955292885
InputSig,10523,CHERP,-0.04452961,0.930125309
InputSig,3508,IGHMBP2,-0.060716172,0.910767973
InputSig,23321,TRIM2,-0.045454249,0.824939917
InputSig,11325,DDX42,-0.054374961,0.750894368
InputSig,6182,MRPL12,-0.009900814,0.991118491
InputSig,9375,TM9SF2,-6.20332e-4,0.997474883
InputSig,148022,TICAM1,-0.036435435,0.973941095
InputSig,29911,HOOK2,-0.051756764,0.910948117
InputSig,8553,BHLHE40,-0.055851197,0.803719469
InputSig,60528,ELAC2,-0.002413016,0.995569371
InputSig,8726,EED,-0.045675324,0.897573314
InputSig,93594,TBC1D31,-0.015760692,0.95728351
InputSig,1981,EIF4G1,-0.039848998,0.809926855
