signatureID,ID_geneid,Name_GeneSymbol,Value_LogDiffExp,Significance_pvalue
InputSig,5300,PIN1,-0.0353193991260867,0.627760777744554
InputSig,23149,FCHO1,-0.0347537900879895,0.805321953317595
InputSig,51005,AMDHD2,-0.0160124202093243,0.963614070901018
InputSig,91137,SLC25A46,-0.017634871491498,0.87595716056182
InputSig,23271,CAMSAP2,-0.00381999750372867,0.943418106694954
InputSig,51385,ZNF589,-0.0210659548706228,0.863253928677974
InputSig,10285,SMNDC1,-0.00977854895997757,0.946549472002103
InputSig,4125,MAN2B1,-0.0229336987299538,0.925975302847208
InputSig,10525,HYOU1,-6.3403799298289e-4,0.990860332386635
InputSig,868,CBLB,-0.0099340137349662,0.942393884635981
InputSig,10559,SLC35A1,-0.0278484339441607,0.773470335623337
InputSig,54915,YTHDF1,-0.00883271794462557,0.928780112178826
InputSig,55958,KLHL9,-0.00309933401297051,0.968223463440042
InputSig,9653,HS2ST1,-0.0358796761212977,0.587189150924801
InputSig,25,ABL1,-0.0149720205011999,0.90115812592518
InputSig,3454,IFNAR1,-2.0865199363683e-4,0.998895589538308
InputSig,23658,LSM5,-0.0236811732504191,0.909910009665956
InputSig,5467,PPARD,-0.00902844483054055,0.955567739833322
InputSig,836,CASP3,-0.0386842958269124,0.759998294300012
InputSig,1070,CETN3,-0.0353002297191861,0.818991781043569
InputSig,998,CDC42,-0.0070942534756753,0.939999252726664
InputSig,3964,LGALS8,-0.0267661129576349,0.73324802287452
InputSig,5927,KDM5A,-0.0314099513743546,0.535169156581038
InputSig,51056,LAP3,-0.00911069550139931,0.930891987458857
InputSig,22934,RPIA,-0.0196944151893293,0.941605003781939
InputSig,51495,HACD3,-0.0152609496422335,0.863721363397931
InputSig,1788,DNMT3A,-0.0257872973814412,0.816924907575105
InputSig,1500,CTNND1,-0.00413942228215067,0.983026096287947
InputSig,902,CCNH,-0.0142006958666345,0.834502048587786
InputSig,8321,FZD1,-0.0407189978972815,0.859347226698766
InputSig,427,ASAH1,-0.0294137414490225,0.717542913334303
InputSig,23077,MYCBP2,-0.0270739293128735,0.722527592517455
InputSig,5971,RELB,-0.0176630374741611,0.971626896273867
InputSig,9988,DMTF1,-0.0403381902891675,0.45010232954427
InputSig,9491,PSMF1,-0.0300362213349281,0.73125969767654
InputSig,10112,KIF20A,-0.0167669315393972,0.980122177623016
InputSig,9519,TBPL1,-0.0118004740581256,0.915214397374604
InputSig,4208,MEF2C,-0.0186795819340588,0.853918838984817
InputSig,5048,PAFAH1B1,-0.0391335739678831,0.600643179255764
InputSig,55699,IARS2,-0.0127453474925441,0.846682212192027
InputSig,6793,STK10,-0.0270363404933706,0.897865210386751
InputSig,57147,SCYL3,-0.0112072752856985,0.936887440346052
InputSig,55893,ZNF395,-0.0119230670925821,0.931170577861412
InputSig,23597,ACOT9,-0.0210334836143969,0.871822631062697
InputSig,5050,PAFAH1B3,-0.0251524881858208,0.929067300797367
InputSig,79961,DENND2D,-0.0261228364033047,0.950556901628615
InputSig,27244,SESN1,-0.00687088074367867,0.942337727741889
InputSig,1647,GADD45A,-0.0290832099223928,0.876407520434863
InputSig,6810,STX4,-0.0245974874909021,0.889661418404564
InputSig,9270,ITGB1BP1,-0.0103964071015746,0.906802927113635
InputSig,1956,EGFR,-1.0801384287183e-4,0.999506764181076
InputSig,29916,SNX11,-0.021052176213466,0.920545926437058
InputSig,8520,HAT1,-0.0287343964259417,0.803031835431432
InputSig,1445,CSK,-0.024885885127534,0.897383858358316
InputSig,1385,CREB1,-0.0286036952593626,0.731480072626323
InputSig,10972,TMED10,-0.00438069065096793,0.94905578423438
InputSig,10695,CNPY3,-0.0118604921986158,0.927888541902612
InputSig,4016,LOXL1,-8.6610097622692e-4,0.999128401419229
InputSig,7416,VDAC1,-0.033790631429781,0.747613396248909
InputSig,323,APBB2,-0.01771490208967,0.796619024660363
InputSig,10221,TRIB1,-0.0132403700197053,0.930520365928596
InputSig,10123,ARL4C,-0.0213695984560159,0.770851550791282
InputSig,22796,COG2,-0.0210123348494873,0.832703248891236
InputSig,207,AKT1,-0.0052909524136024,0.950175846014847
InputSig,10921,RNPS1,-0.00691760073096223,0.932523469402701
InputSig,11011,TLK2,-0.0218590086524578,0.805282539944538
InputSig,8851,CDK5R1,-0.0119563645488173,0.914107185750294
InputSig,9276,COPB2,-0.0113428567154345,0.879149266978733
InputSig,11031,RAB31,-0.00247915556239244,0.984257427114847
InputSig,8440,NCK2,-0.0144364853371309,0.875307514175172
InputSig,23365,ARHGEF12,-0.0218528409459753,0.627733698351875
