signatureID,ID_geneid,Name_GeneSymbol,Value_LogDiffExp,Significance_pvalue
InputSig,6714,SRC,-0.0425995644364686,0.807758604350185
InputSig,23149,FCHO1,-0.0762912291222451,0.649962700880356
InputSig,51385,ZNF589,-0.228068832339917,0.0915273381342277
InputSig,10285,SMNDC1,-5.9864681537469e-4,0.997128068729998
InputSig,4125,MAN2B1,-0.130935750564013,0.666784877045689
InputSig,10525,HYOU1,-0.0165258167490048,0.807955095905483
InputSig,8569,MKNK1,-0.0547296378587212,0.673249706435215
InputSig,868,CBLB,-0.129842629067396,0.399472679489152
InputSig,501,ALDH7A1,-0.0393647014220499,0.728797051059323
InputSig,22905,EPN2,-0.04650042882955,0.641584059469498
InputSig,351,APP,-0.0599071471756591,0.541787239797481
InputSig,6597,SMARCA4,-0.367583031484911,4.0788917389522e-4
InputSig,7077,TIMP2,-0.255966366425239,0.0321087597341007
InputSig,2063,NR2F6,-0.0140222760922775,0.96350052511767
InputSig,23368,PPP1R13B,-0.271065270033505,0.00870512148323659
InputSig,91949,COG7,-0.0592018424567766,0.742227947389859
InputSig,3033,HADH,-0.0694570606021616,0.707120407229503
InputSig,51160,VPS28,-0.0683955123892844,0.713579960712573
InputSig,23139,MAST2,-0.24396913865123,0.0367392593649605
InputSig,6832,SUPV3L1,-0.0255115307750156,0.810341564339353
InputSig,25,ABL1,-0.146028901862475,0.303614236366243
InputSig,991,CDC20,-0.139518976677505,0.857564487463343
InputSig,4232,MEST,-0.0151225279608141,0.869522765700474
InputSig,5467,PPARD,-0.252492390810546,0.102951026282867
InputSig,1509,CTSD,-0.126581312518686,0.280849057428964
InputSig,23038,WDTC1,-0.240896626740532,0.031345405806301
InputSig,5891,MOK,-0.332963925960487,0.0141927352489518
InputSig,2184,FAH,-0.0900131870180196,0.798592790564022
InputSig,7043,TGFB3,-0.415419792735754,0.109649269100127
InputSig,51422,PRKAG2,-0.227848597232502,0.0159107925978488
InputSig,57192,MCOLN1,-0.149807479620037,0.611519205834813
InputSig,6509,SLC1A4,-0.0116287460164419,0.902646480683272
InputSig,5927,KDM5A,-0.091400980962578,0.110943471507829
InputSig,4851,NOTCH1,-0.175271693757569,0.411696789673022
InputSig,80758,PRR7,-0.16084210781814,0.499442807842231
InputSig,22934,RPIA,-0.120589873577339,0.697680538605896
InputSig,1906,EDN1,-0.249447513837015,0.403246379277
InputSig,7016,TESK1,-0.0907173680938393,0.609725349286408
InputSig,10362,HMG20B,-0.0255560877969403,0.933563122439587
InputSig,6461,SHB,-0.212063609672304,0.386733669611872
InputSig,2185,PTK2B,-0.283530468595255,0.0427774822663762
InputSig,5498,PPOX,-0.0252500687575393,0.917609418049439
InputSig,3551,IKBKB,-0.00370433497948977,0.980566797191586
InputSig,1788,DNMT3A,-0.288639831281956,0.0190811719729485
InputSig,1500,CTNND1,-0.364007313127786,0.0874593493072964
InputSig,902,CCNH,-0.0684789278166505,0.405695971871995
InputSig,6908,TBP,-0.0232894302236092,0.90120912709616
InputSig,8321,FZD1,-0.0356409268085306,0.891655657654694
InputSig,93487,MAPK1IP1L,-0.122818538947688,0.140495673804234
InputSig,23077,MYCBP2,-0.0266962203987959,0.759847207115393
InputSig,54850,FBXL12,-0.186679842427509,0.568304536951929
InputSig,10174,SORBS3,-0.471899301813186,0.0431245564494626
InputSig,5971,RELB,-0.0442904436781234,0.936390002125041
InputSig,9988,DMTF1,-0.0113301905350953,0.829901619627754
