signatureID,ID_geneid,Name_GeneSymbol,Value_LogDiffExp,Significance_pvalue
InputSig,51005,AMDHD2,-0.255590660181115,0.674970621923421
InputSig,3251,HPRT1,-0.233627682145655,0.172010453491526
InputSig,991,CDC20,-0.313440222837876,0.783635237417733
InputSig,5498,PPOX,-0.229531461609671,0.527668981792165
InputSig,5321,PLA2G4A,-0.301976683518081,0.546250243426845
InputSig,2042,EPHA3,-0.369010728487114,0.0902718199889001
InputSig,5347,PLK1,-0.485478868598645,0.489625008590831
InputSig,6676,SPAG4,-0.272175995116722,0.782107739281522
InputSig,1643,DDB2,-0.476243090824074,0.346262116361888
InputSig,8396,PIP4K2B,-1.42249443321617,0.184527835688572
InputSig,5092,PCBD1,-0.420591556689913,0.323183280312129
InputSig,6909,TBX2,-0.407036612131257,0.572923767295725
InputSig,5566,PRKACA,-0.229552618284817,0.27084087299703
InputSig,65057,ACD,-0.225153935753518,0.591318118585227
InputSig,994,CDC25B,-0.234998667749332,0.2693740195851
InputSig,79716,NPEPL1,-0.752005091588522,0.528664206817758
InputSig,2624,GATA2,-0.32614601152485,0.715136113310658
InputSig,7082,TJP1,-0.374598308678038,0.548332958556938
InputSig,10776,ARPP19,-0.220871181016304,0.227322818081732
InputSig,10320,IKZF1,-0.411025372367855,0.38651788768559
InputSig,5883,RAD9A,-0.339783876891165,0.554697774514909
InputSig,5468,PPARG,-0.224486039622949,0.525105966781965
InputSig,26993,AKAP8L,-0.290401673660073,0.0506813586727998
InputSig,64943,NT5DC2,-0.295078758442658,0.591252838407505
InputSig,6813,STXBP2,-0.376157727687495,0.680846039315479
InputSig,80212,CCDC92,-0.347665144451583,0.504483190371073
InputSig,695,BTK,-0.433819831760726,0.45507516198469
InputSig,5603,MAPK13,-0.332435835701458,0.185619480408116
InputSig,6804,STX1A,-0.220543832430199,0.20160761330889
InputSig,2954,GSTZ1,-0.366817274062904,0.484613859437417
InputSig,1111,CHEK1,-0.503645977247391,0.384826852881281
InputSig,572,BAD,-0.250751795268091,0.618598188108732
InputSig,1062,CENPE,-0.314406787170603,0.393035995063097
InputSig,25825,BACE2,-0.490395571938286,0.218409159869154
InputSig,8446,DUSP11,-0.268924600036255,0.250604053235397
InputSig,10954,PDIA5,-0.426385282551106,0.395288811115404
InputSig,595,CCND1,-0.219088435738701,0.437591085686974
InputSig,7849,PAX8,-0.265870884625497,0.784814400858881
InputSig,25987,TSKU,-0.261293438990335,0.785462428173087
InputSig,11230,PRAF2,-0.284808446125557,0.457064710653123
InputSig,5880,RAC2,-0.255823448852636,0.828584517885129
InputSig,10610,ST6GALNAC2,-0.520666758007872,0.512513456170168
InputSig,4846,NOS3,-0.564015914181629,0.443635603481106
InputSig,9124,PDLIM1,-0.429896807165772,0.732345274183363
InputSig,22809,ATF5,-0.257848161321807,0.713326422564829
