signatureID,ID_geneid,Name_GeneSymbol,Value_LogDiffExp,Significance_pvalue
InputSig,351,APP,-0.0180280263326622,0.870022550564738
InputSig,6509,SLC1A4,-0.018716867116027,0.828789762300697
InputSig,5498,PPOX,-0.0143652566030521,0.96394160184717
InputSig,211,ALAS1,-0.0185493759080162,0.896123214989765
InputSig,6193,RPS5,-0.0189428133048165,0.855156022131162
InputSig,22796,COG2,-0.014733474201277,0.917035817706818
InputSig,10813,UTP14A,-0.0170541256345248,0.914409240945483
InputSig,1845,DUSP3,-0.0164493946961682,0.892434261377704
InputSig,9805,SCRN1,-0.0176285001567252,0.837284886797018
InputSig,1950,EGF,-0.014540235784035,0.966586018258507
InputSig,7158,TP53BP1,-0.0147868177486404,0.837504922068759
InputSig,54623,PAF1,-0.0147147141951922,0.90620421046926
InputSig,9221,NOLC1,-0.0175163606271584,0.835966534328199
InputSig,642,BLMH,-0.0145561676619808,0.928300755498313
InputSig,3895,KTN1,-0.0129488931215808,0.851502098427277
InputSig,1802,DPH2,-0.0150738181047385,0.959261931210394
InputSig,2146,EZH2,-0.0149333071886551,0.963692831482507
InputSig,10589,DRAP1,-0.0156913325508597,0.905053119200189
