signatureID,ID_geneid,Name_GeneSymbol,Value_LogDiffExp,Significance_pvalue
InputSig,5300,PIN1,0.0455800845779145,0.6039475844474
InputSig,51335,NGRN,0.0977410535617597,0.294567080753077
InputSig,1465,CSRP1,0.107054121208163,0.217614895308104
InputSig,23149,FCHO1,0.127763503991921,0.387265652667517
InputSig,51005,AMDHD2,0.269617309334105,0.527787166316083
InputSig,55012,PPP2R3C,0.0327286691188087,0.813035247641464
InputSig,56940,DUSP22,0.0195968553668706,0.839664696008436
InputSig,91137,SLC25A46,0.0412691624326765,0.754722045058555
InputSig,10285,SMNDC1,0.0852954201566163,0.54353744400377
InputSig,4125,MAN2B1,0.0445724991993352,0.863394723457935
InputSig,8569,MKNK1,0.0939706495609086,0.501924403403948
InputSig,3385,ICAM3,0.160479890485933,0.737884278388223
InputSig,4780,NFE2L2,0.0448242859728561,0.627798202940662
InputSig,3251,HPRT1,0.0332434790854637,0.734529768010546
InputSig,5331,PLCB3,0.0951772131312162,0.71143557839957
InputSig,501,ALDH7A1,0.159548791908664,0.105509889790511
InputSig,22905,EPN2,0.0645355816864802,0.371750443650859
InputSig,6597,SMARCA4,0.0259375229710063,0.784345484652795
InputSig,6119,RPA3,0.0422189563067942,0.833597635862049
InputSig,55958,KLHL9,0.0329707363870224,0.734822837158656
InputSig,26520,TIMM9,0.0277866710096147,0.884636037346882
InputSig,23635,SSBP2,0.107048817405924,0.296324059393223
InputSig,23139,MAST2,0.0985170682615305,0.47374722864001
InputSig,4836,NMT1,0.0266939511115423,0.694239788572769
InputSig,890,CCNA2,0.0599863212891118,0.853925121921108
InputSig,8503,PIK3R3,0.0720009264554137,0.48955707293513
InputSig,25,ABL1,0.0527862166898005,0.636126293492263
InputSig,3454,IFNAR1,0.053295540818011,0.345898392696381
InputSig,991,CDC20,0.325268586223907,0.634370779130575
InputSig,23038,WDTC1,0.0083414750040379,0.942779032341367
InputSig,2184,FAH,0.0590664675398152,0.849117381605679
InputSig,10227,MFSD10,0.0288283876044843,0.929417942602752
InputSig,10606,PAICS,0.0332630670109676,0.685764155149195
InputSig,7043,TGFB3,0.157386184634242,0.235383953202641
InputSig,6390,SDHB,0.0186331953216309,0.847546023645553
InputSig,2852,GPER1,0.223694922291618,0.482113443613673
InputSig,6509,SLC1A4,0.160503535510328,0.10580875017495
InputSig,2673,GFPT1,0.0114345027845575,0.88624139116673
InputSig,5927,KDM5A,0.0111194331457358,0.807013930018803
InputSig,4851,NOTCH1,0.096657546680786,0.433475392015814
InputSig,51056,LAP3,0.0890418224908971,0.438746910211353
InputSig,8869,ST3GAL5,0.0961299128723615,0.262293290245441
InputSig,1906,EDN1,0.191738735735108,0.517401851540269
InputSig,116832,RPL39L,0.0990267409814185,0.80215528825929
InputSig,51719,CAB39,0.00678036458720334,0.938852752011539
InputSig,7016,TESK1,0.0294683043382661,0.870730252181475
InputSig,10362,HMG20B,0.129527080919679,0.63120340807507
InputSig,6461,SHB,0.0515648257722881,0.806887618123965
InputSig,63933,MCUR1,0.0890222118323231,0.337694744976785
InputSig,3551,IKBKB,0.0447520655805794,0.719564662783668
InputSig,1500,CTNND1,0.164221532919403,0.435510242316509
InputSig,5111,PCNA,0.0123709020457657,0.932177984091489
InputSig,6908,TBP,0.0239961971251077,0.890572273168472
InputSig,3091,HIF1A,0.0167765827888269,0.780942479236415
InputSig,5290,PIK3CA,0.0248414734471303,0.707663598003792
InputSig,54850,FBXL12,0.0950534256676687,0.774983628099261
InputSig,2523,FUT1,0.279687251342803,0.475677533538692
InputSig,5321,PLA2G4A,0.279021942598586,0.249724163799381
InputSig,10174,SORBS3,0.138464255678926,0.531567799030667
InputSig,57149,LYRM1,0.0776746659045841,0.596368740249946
InputSig,9988,DMTF1,0.044281611000545,0.476512544153446
InputSig,2042,EPHA3,0.467797901201471,0.0155617121867373
InputSig,51466,EVL,0.180237955810331,0.264492641038226
InputSig,29082,CHMP4A,0.147032728173296,0.293860232830154
InputSig,79090,TRAPPC6A,0.142470066004798,0.751651659588713
InputSig,4208,MEF2C,0.435257349211697,0.0576323932206285
InputSig,9917,FAM20B,0.0326064868961546,0.710092531168735
InputSig,23585,TMEM50A,0.0166752020791752,0.915378769130768
InputSig,6793,STK10,0.191342689122367,0.329612541248452
InputSig,80347,COASY,0.06484631511209,0.794597383167947
InputSig,7376,NR1H2,0.167356527794025,0.36297100263289
InputSig,57147,SCYL3,0.0598527952593107,0.652929131380004
InputSig,55008,HERC6,0.0974908217519401,0.3996147940086
InputSig,55038,CDCA4,0.140423335904847,0.775500825582536
InputSig,3566,IL4R,0.149901223506982,0.669303195999362
InputSig,6850,SYK,0.233573609241768,0.32024967314687
InputSig,10451,VAV3,0.290101868644959,0.220615490135562
InputSig,5347,PLK1,0.0789431051969261,0.879212736379559
InputSig,4775,NFATC3,0.118248558059984,0.325022526548933
InputSig,1029,CDKN2A,0.0358473279577039,0.95664966062374
InputSig,55893,ZNF395,0.105705170336475,0.478902152675913
InputSig,23597,ACOT9,0.0899703052485997,0.539091737386798
InputSig,5154,PDGFA,0.0634089245062537,0.568012730806506
