signatureID,ID_geneid,Name_GeneSymbol,Value_LogDiffExp,Significance_pvalue
InputSig,2274,FHL2,-0.4181048871576,0.00254882676194422
InputSig,80758,PRR7,-0.293569714732538,0.141010844072515
InputSig,2810,SFN,-0.200831928329991,0.324271852773505
InputSig,3202,HOXA5,-1.32529288490449,0.112985677977975
InputSig,7852,CXCR4,-0.367748526996213,0.279901850740058
InputSig,11065,UBE2C,-0.598028853604386,0.105493028437246
InputSig,1647,GADD45A,-0.308632505330173,0.0150689814794766
InputSig,9133,CCNB2,-0.202982334252682,0.238010408031918
InputSig,3315,HSPB1,-0.487802881274583,0.0757449040058358
InputSig,4016,LOXL1,-0.42126479863319,0.0552255890964206
InputSig,10221,TRIB1,-0.293022843641228,0.0158148632993197
InputSig,1829,DSG2,-0.419040510123406,0.107183275101911
InputSig,727,C5,-0.428439436624698,0.23539081231758
InputSig,1001,CDH3,-0.221852503729036,0.658939339867544
InputSig,332,BIRC5,-0.268253552493592,0.220758758512407
InputSig,5468,PPARG,-0.27894452478715,0.213909307701613
InputSig,2353,FOS,-1.06200632576151,0.0120137805894159
InputSig,3280,HES1,-0.371232628666766,0.00596728878919741
InputSig,3303,HSPA1A,-0.447313341674001,0.0307811992251732
InputSig,7020,TFAP2A,-0.310339974181489,0.310419468126525
InputSig,1277,COL1A1,-0.706168611946526,0.00299956136008847
InputSig,5743,PTGS2,-0.360094893303352,0.0159745913004841
InputSig,79006,METRN,-0.200287632617271,0.030066348866093
InputSig,4776,NFATC4,-0.294067996180101,0.177199417014818
InputSig,10644,IGF2BP2,-0.331393461568558,0.147799716780715
InputSig,84722,PSRC1,-0.40516805771791,0.0519025223748417
InputSig,5603,MAPK13,-0.55640202916647,0.589331216275041
InputSig,6804,STX1A,-0.210695532724444,0.0375929669024536
InputSig,8900,CCNA1,-0.338632369819837,0.458505001710122
InputSig,8444,DYRK3,-0.233378490517059,0.102498667406393
InputSig,1958,EGR1,-0.326986271187643,0.0201124625314168
InputSig,9697,TRAM2,-0.211352847722886,0.63903461115845706
InputSig,8800,PEX11A,-0.381667831922658,0.434110117228792
InputSig,1050,CEBPA,-0.334357128296215,0.0307383933117031
InputSig,1026,CDKN1A,-0.284175236783169,0.16516627343215
InputSig,25976,TIPARP,-0.239094592206228,0.0502126818031419
InputSig,3725,JUN,-0.30684543545508,3.6495039648572e-4
InputSig,4609,MYC,-0.259868128126877,0.174023976808822
InputSig,6304,SATB1,-0.337247309183654,0.0322016832647696
InputSig,5480,PPIC,-0.203554709479555,0.175284367757309
InputSig,1848,DUSP6,-0.334717830828904,1.1258044671517e-4
InputSig,9455,HOMER2,-0.268643241226095,0.123043612716401
InputSig,6915,TBXA2R,-0.311370042303856,0.327868019679533
InputSig,3553,IL1B,-0.461168045104368,0.273502993574897
InputSig,5880,RAC2,-0.37712257207306,0.14445043108195
InputSig,11098,PRSS23,-0.249505882695082,0.0360675886701021
InputSig,9124,PDLIM1,-0.25540452728578,0.160411458257619
