signatureID,ID_geneid,Name_GeneSymbol,Value_LogDiffExp,Significance_pvalue
InputSig,51005,AMDHD2,0.154812810061644,0.0741354808740425
InputSig,4860,PNP,0.58175729637707,4.85886388849701e-8
InputSig,4125,MAN2B1,0.148495123789517,0.00303539098312515
InputSig,2063,NR2F6,0.128369330111441,0.249123899805092
InputSig,890,CCNA2,0.105106009729464,0.434098490004638
InputSig,23658,LSM5,0.278338634209296,0.0228358449860537
InputSig,6275,S100A4,0.208085893402758,0.193144017581333
InputSig,5261,PHKG2,0.129472416832509,0.0378405397844713
InputSig,836,CASP3,0.16519666243192,0.00675345715529555
InputSig,2745,GLRX,0.289245935944137,2.8237395938742e-4
InputSig,6390,SDHB,0.132043306050423,0.00824276774021481
InputSig,5111,PCNA,0.166996287057035,5.384607743356e-4
InputSig,93487,MAPK1IP1L,0.10884965452643,0.044447835789955
InputSig,54850,FBXL12,0.208987422035341,0.0697404462095165
InputSig,2523,FUT1,1.3617489014304,0.00700334115151285
InputSig,57149,LYRM1,0.106813508198682,0.0698596327248528
InputSig,79090,TRAPPC6A,0.466939535947006,0.0267837313145982
InputSig,54205,CYCS,0.169424279886921,0.00202129894166394
InputSig,5347,PLK1,0.114660896530316,0.499782672379594
InputSig,7852,CXCR4,0.41111845644325,0.0568781058124031
InputSig,2625,GATA3,1.41754010926276,0.0477315182648892
InputSig,3329,HSPD1,0.244205203694416,1.1217756018992e-4
InputSig,5154,PDGFA,0.154187355430597,0.0168362338203559
InputSig,55620,STAP2,0.154174114150958,0.184605156034483
InputSig,79961,DENND2D,0.159857620657404,0.371504340291242
InputSig,2582,GALE,0.178922034071075,0.14312985093463
InputSig,4605,MYBL2,0.266642460044701,0.2528758098823
InputSig,5985,RFC5,0.143411753188266,0.0148877563316197
InputSig,55825,PECR,0.141052250923422,0.114183056378941
InputSig,8270,LAGE3,0.149445594385343,0.0390380165950733
InputSig,664,BNIP3,0.287047252985335,1.63657039116403e-6
InputSig,10898,CPSF4,0.131700765303284,0.0684128230967932
InputSig,5427,POLE2,0.110454377610825,0.442630597966197
InputSig,7416,VDAC1,0.109015479358652,0.00320491342903428
InputSig,10921,RNPS1,0.181362734509226,8.43557547154244e-6
InputSig,51282,SCAND1,0.264432860489233,0.0663574032839335
InputSig,4282,MIF,0.151237847869462,0.0108597365693824
InputSig,4998,ORC1,0.22822890067227,0.0602745721848685
InputSig,25803,SPDEF,0.458036175846373,0.263972373621994
InputSig,780,DDR1,0.112747925686532,0.2235972443374
InputSig,6194,RPS6,0.817989980278651,2.68787119146822e-11
InputSig,8607,RUVBL1,0.221361407342269,5.86340239509403e-6
InputSig,10165,SLC25A13,0.176341352178166,0.272605088216122
InputSig,10320,IKZF1,0.142956914313522,0.0947196261337382
InputSig,3398,ID2,0.126411058668931,0.0266357845869526
InputSig,27346,TMEM97,0.171808617098716,0.0101461018598346
InputSig,5440,POLR2K,0.521986161720721,2.48260796130304e-8
InputSig,5986,RFNG,0.16353999465163,0.0690820191643178
InputSig,3303,HSPA1A,0.568244454889399,0.00130614474281368
InputSig,2958,GTF2A2,0.118735931589351,0.0220701964714065
InputSig,3925,STMN1,0.429508139383622,4.01269653828996e-10
InputSig,9246,UBE2L6,0.19042111953074,0.111769703838374
InputSig,1277,COL1A1,0.204662957486929,0.445168531303648
InputSig,10049,DNAJB6,0.641081298335427,5.806356239484389e-11
InputSig,9641,IKBKE,0.113273034442994,0.509010320465961
InputSig,6894,TARBP1,0.115229747206472,0.0748045629312935
InputSig,10007,GNPDA1,0.228905218292702,5.15370739911503e-6
InputSig,10557,RPP38,0.150823953775435,0.0145278585566573
InputSig,6464,SHC1,0.106267257828599,0.240157466976641
InputSig,64943,NT5DC2,0.148550013867007,0.305118373912714
InputSig,51071,DERA,0.288664026361252,0.0327443974542393
InputSig,23410,SIRT3,0.110798053764288,0.11735303569846
InputSig,3682,ITGAE,0.149566668349731,0.627766069472431
InputSig,6813,STXBP2,0.270233749759621,0.00251246142821835
InputSig,11200,CHEK2,0.105699000943836,0.478486076838452
