signatureID,ID_geneid,Name_GeneSymbol,Value_LogDiffExp,Significance_pvalue
InputSig,29083,GTPBP8,-0.15273666504286,0.351432198421274
InputSig,7043,TGFB3,-0.196221879771693,0.129807588938647
InputSig,6461,SHB,-0.161297120776163,0.357621551177626
InputSig,57406,ABHD6,-0.197931559668231,0.00734899593971165
InputSig,5971,RELB,-0.253164726394101,0.529513844679412
InputSig,3337,DNAJB1,-0.322832654573068,0.0406942886533651
InputSig,3988,LIPA,-0.172189150523872,0.107724288330819
InputSig,4864,NPC1,-0.175813876223334,0.0347241315287482
InputSig,2065,ERBB3,-0.302072016929753,0.0660233390473362
InputSig,8396,PIP4K2B,-0.756110550444416,0.0474352079725961
InputSig,2736,GLI2,-0.210775574615133,0.516369290562833
InputSig,10221,TRIB1,-0.333310177201835,0.0696852571599292
InputSig,25932,CLIC4,-0.182387587148561,0.19643811961443
InputSig,652,BMP4,-0.242258875074827,0.531603378664418
InputSig,637,BID,-0.150948921518324,0.0836792645019983
InputSig,7082,TJP1,-0.249169372831401,0.319131411571917
InputSig,3398,ID2,-0.178328947077098,0.00803157263420201
InputSig,1846,DUSP4,-0.264994010812034,0.136898437838541
InputSig,2353,FOS,-1.34612552617266,0.00765130096678421
InputSig,3280,HES1,-0.265493611604598,0.137278672971227
InputSig,9134,CCNE2,-0.336364949325026,0.0270588105130702
InputSig,960,CD44,-0.175457617722337,0.445702118174172
InputSig,4783,NFIL3,-0.253331416078494,0.123171404934086
InputSig,976,ADGRE5,-0.175302125992003,0.603263593792072
InputSig,873,CBR1,-0.164434064962339,0.0898149849726867
InputSig,5743,PTGS2,-1.38482344210852,0.0159414243881498
InputSig,5997,RGS2,-0.366752483354151,0.0347116065183011
InputSig,3312,HSPA8,-0.15644157171625,0.0797371352072432
InputSig,6696,SPP1,-0.456184209464807,0.0362916845758052
InputSig,4616,GADD45B,-0.220127202626895,0.488271000084068
InputSig,5796,PTPRK,-0.200057092367885,0.541192301608411
InputSig,5054,SERPINE1,-0.277882658816995,0.539480819872675
InputSig,25805,BAMBI,-0.18424904015524,0.388173530466582
InputSig,9517,SPTLC2,-0.162899852794219,0.0232077597252646
InputSig,8444,DYRK3,-0.241222147232293,0.211213843737988
InputSig,1958,EGR1,-0.719010287411093,0.0317511594045162
InputSig,831,CAST,-0.163950212758733,0.00226855660382061
InputSig,60493,FASTKD5,-0.198626898319955,0.0251860769720078
InputSig,1026,CDKN1A,-0.222355267454827,0.426112687638704
InputSig,54541,DDIT4,-0.198745912202191,0.217755289298758
InputSig,8835,SOCS2,-0.202771916639745,0.182664829461672
InputSig,1848,DUSP6,-0.414859806262953,0.0183422279126843
InputSig,3775,KCNK1,-0.182692004546608,0.0249624398809792
InputSig,9124,PDLIM1,-0.273037117753548,0.527138225497523
InputSig,533,ATP6V0B,-0.154073535716304,0.090053651903174
