triple,mean_rank,AI,CG,DLPFC,NAC,OFC,SUB
A375-6h-10uM,1,1,1,1,1,1,1
A549-24h-10uM,1,1,1,1,1,1,1
A549-6h-10uM,1,1,1,1,1,1,1
HEPG2-6h-10uM,1,1,1,1,1,1,1
HT29-6h-10uM,1,1,1,1,1,1,1
MCF7-6h-10uM,1,1,1,1,1,1,1
PC3-24h-0.37uM,1,1,1,1,1,1,1
PC3-24h-1.11uM,1,1,1,1,1,1,1
PC3-24h-10uM,1,1,1,1,1,1,1
PC3-24h-3.33uM,1,1,1,1,1,1,1
PC3-6h-10uM,1,1,1,1,1,1,1
A375-24h-10uM,1.1666666666666667,1,1,1,2,1,1
A375-24h-3.33uM,1.1666666666666667,1,1,2,1,1,1
YAPC-24h-1.11uM,1.1666666666666667,1,1,1,2,1,1
YAPC-24h-10uM,1.1666666666666667,1,1,1,2,1,1
CORL23-6h-10uM,1.3333333333333333,1,1,2,2,1,1
HA1E-24h-10uM,1.3333333333333333,1,1,1,3,1,1
HCC515-24h-10uM,1.3333333333333333,1,1,1,3,1,1
HCC515-6h-10uM,1.3333333333333333,1,1,1,3,1,1
A375-24h-0.12uM,1.5,1,1,3,2,1,1
A375-24h-1.11uM,1.5,1,1,3,2,1,1
A549-6h-3uM,1.5,1,1,2,2,2,1
HELA-24h-10uM,1.5,1,2,1,3,1,1
MCF7-24h-0.04uM,1.5,1,1,1,4,1,1
MCF7-24h-10uM,1.5,1,1,1,4,1,1
PC3-24h-0.12uM,1.5,1,1,2,1,3,1
ASC-24h-10uM,1.6666666666666667,2,2,1,2,1,2
MCF7-24h-0.37uM,1.6666666666666667,1,1,1,4,2,1
MCF7-24h-1.11uM,1.6666666666666667,1,2,1,4,1,1
NCIH2073-6h-10uM,1.6666666666666667,1,1,2,4,1,1
SKB-24h-10uM,1.6666666666666667,1,1,1,5,1,1
VCAP-6h-10uM,1.6666666666666667,1,1,1,5,1,1
YAPC-24h-0.37uM,1.6666666666666667,1,1,2,2,3,1
PC3-24h-0.5uM,1.8333333333333333,1,1,2,5,1,1
YAPC-24h-0.12uM,1.8333333333333333,1,1,2,1,5,1
OV7-6h-10uM,2,1,2,2,4,2,1
PC3-6h-3uM,2,1,2,5,1,1,2
RMUGS-6h-10uM,2,1,2,3,2,2,2
SW620-6h-10uM,2,1,1,3,5,1,1
CL34-6h-10uM,2.1666666666666665,2,2,3,2,2,2
NCIH1694-6h-10uM,2.1666666666666665,2,2,2,4,1,2
NPC-6h-10uM,2.1666666666666665,1,1,5,4,1,1
BT20-3h-10uM,2.3333333333333335,2,3,3,2,2,2
HT115-6h-10uM,2.3333333333333335,2,2,4,3,2,1
PC3-24h-0.04uM,2.6666666666666665,2,3,2,4,3,2
A673-6h-1uM,2.8333333333333335,3,3,3,2,3,3
HME1-3h-10uM,3,2,3,4,3,2,4
SNU1040-6h-10uM,3.1666666666666665,2,2,3,5,5,2
