compound,num_concordant,num_discordant,ratio,mechanism,HELA,HT29,A375,PC3,HA1E,MCF7,NPC,A549,VCAP,HUH7,FIBRNPC,SKBR3,HEPG2,MDAMB231,BT20,HCC515,MCF10A,NEU,HME1,SKB,ASC,HS578T,LNCAP,YAPC,SW620,AGS,SNGM,WSUDLCL2,HCT116,SW948,RMUGS,HCC15,OV7,H1299,SNUC5,A673,NCIH508,TYKNU,CORL23,SNU1040,U266,NCIH2073,THP1,RMGI,SKMEL28,CL34,NPC.TAK,NPC.CAS9,HUVEC,NCIH596,SKM1,LOVO,MDST8,SKLU1,PHH,HEK293T,PL21,CD34,T3M10,NOMO1,SKMEL1,SKL,ASC.C,SKL.C,HEC108,JHUEM2,U937,COV644,HL60,HT115,JURKAT,EFO27,SNUC4,NCIH1836,HUES3,SW480,NCIH1694,MNEU.E,RKO,DV90,NKDBA,HS27A
Canertinib,4,10,0.4,EGFR inhibitor,-0.43330814,NA,0.36725834,-0.38051886,-0.37159037,-0.56454557,NA,NA,NA,NA,NA,-0.58843389,0.41326394,-0.48480304,-0.7655337,-0.59767121,-0.54514247,NA,-0.65581398,NA,NA,0.46769579,0.44642109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Selumetinib,1,22,0.04545455,MEK inhibitor,NA,-0.42322086,-0.3647106,NA,-0.55586005,-0.66686595,NA,-0.73523557,-0.53786612,NA,NA,-0.69765975,NA,NA,-0.54251718,-0.55402297,-0.48707812,NA,-0.44674844,NA,NA,-0.43925303,-0.40909472,0.59889136,NA,-0.51065976,-0.40398143,NA,NA,NA,NA,-0.48578752,NA,NA,NA,NA,NA,NA,NA,-0.66680324,NA,-0.6027426,NA,NA,NA,NA,NA,NA,NA,-0.47875577,NA,NA,-0.41653835,NA,NA,NA,NA,NA,NA,NA,-0.41303428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.73888738,NA,NA
Pelitinib,1,9,0.11111111,EGFR inhibitor,-0.43561684,0.36888488,-0.41470944,-0.39613471,NA,-0.42170919,NA,NA,NA,NA,NA,-0.72039797,-0.42332054,NA,-0.69274555,NA,-0.54340294,NA,NA,NA,NA,NA,NA,-0.577675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neratinib,4,19,0.21052632,EGFR inhibitor,-0.6137056,-0.49306469000000003,-0.5369533,-0.52796679,-0.37919014,-0.46173297,NA,-0.53644389,NA,NA,NA,-0.57957365,-0.39283305,0.50863393,-0.65106745,-0.53029438,-0.55006922,NA,NA,NA,NA,0.40911739,NA,0.58470518,NA,-0.57464039,NA,0.50930015,NA,NA,NA,NA,-0.35014291,NA,NA,NA,NA,NA,NA,NA,NA,-0.51109379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.48188705,NA,NA,NA,-0.45658814,NA,NA,-0.40036469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.70742191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amoxicillin,0,2,0,Penicillin binding protein inhibitor,NA,NA,NA,NA,NA,-0.3764829,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.68876767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vorinostat,28,14,2,Histone deacetylase 1 inhibitor|Histone deacetylase 3 inhibitor|Histone deacetylase 6 inhibitor|Histone deacetylase 2 inhibitor,NA,0.48734279,-0.59364075,-0.65827858,0.58563926,-0.53128086,0.47215976,0.48445261,0.50968124,NA,NA,NA,0.47061159,NA,NA,-0.68005824,NA,0.52151432,0.47061942,-0.42163035,0.38483172,NA,NA,NA,NA,0.46903115,NA,0.4339021,0.3461435,NA,NA,NA,-0.4240272,NA,-0.40885237,NA,NA,NA,-0.5303439,NA,NA,-0.50795211,0.34874967,NA,NA,NA,0.50745044,0.51063372,0.50880353,-0.51932844,0.67042194,NA,NA,0.37200806,NA,NA,0.63354039,NA,-0.55998815,0.46857136,-0.3930409,0.51279102,NA,0.4504052,NA,0.40793711,0.57454293,NA,NA,NA,0.49345135,-0.63188353,NA,NA,NA,-0.35247624,NA,0.5957617,NA,0.43046945,0.38346424,NA
Parthenolide,6,13,0.46153846,NFkB pathway inhibitor,NA,NA,-0.38101868,-0.45350996,NA,0.53908611,-0.37854673,-0.35694121,-0.43891344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.58737298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3888298,-0.52647101,0.37764813,NA,NA,NA,NA,NA,0.38563145,NA,NA,0.3894069,NA,0.39409288,NA,NA,NA,-0.39654918,NA,NA,NA,NA,0.52222256,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.67769557,NA,NA,-0.59328687,-0.40250498,-0.36209286,NA
Pazopanib,5,11,0.45454545,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,NA,NA,-0.36999634,-0.44428146,NA,0.52694066,-0.43449099,NA,NA,NA,NA,NA,-0.56134323,NA,NA,NA,0.4604351,NA,0.50200162,NA,-0.43902283,-0.37130423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.67202857,NA,NA,NA,NA,NA,NA,NA,-0.3810523,NA,NA,-0.65587132,NA,NA,NA,0.39939338,NA,0.49698561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.42080398,NA,NA,-0.47794528,NA,NA,NA,NA
Tubastatin A,5,2,2.5,HDAC inhibitor,NA,0.47015938,-0.67181151,-0.37301321,0.46206863,0.42438082,NA,NA,NA,NA,NA,NA,0.34974382,NA,NA,0.61183302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaetocin,5,13,0.38461538,Histone lysine methyltransferase inhibitor,NA,NA,-0.44699556,-0.63986964,NA,0.50576256,NA,-0.51616397,NA,NA,NA,NA,NA,NA,NA,0.40615893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.35084088,NA,NA,NA,NA,0.37182839,NA,NA,-0.4169639,NA,NA,NA,NA,-0.47744582,NA,-0.4499981,-0.36091484,NA,NA,0.60548928,NA,NA,NA,-0.37281369,NA,NA,-0.62249116,NA,NA,NA,NA,NA,NA,-0.4820438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.67160632,0.3773378,NA,NA,NA,-0.62598637,NA,NA,NA,NA,NA
