compound,HELA,HT29,A375,PC3,VCAP,HA1E,MCF7,NPC,A549,HUH7,FIBRNPC,SKBR3,HEPG2,MDAMB231,BT20,HCC515,MCF10A,HS578T,HME1,YAPC,SW620,AGS,SNGM,SKB,HCC15,A673,THP1,NCIH508,SKLU1,U266,NCIH2073,NCIH596,TYKNU,SKMEL28,LNCAP,RKO,SKM1,MDST8,NEU,HCT116,PHH,HEK293T,LOVO,NOMO1,T3M10,SKMEL1,ASC,PL21,SKL,ASC.C,SKL.C,HEC108,CORL23,DV90,H1299,JHUEM2,COV644,SNU1040,HL60,CD34,HT115,JURKAT,CL34,EFO27,U937,SNUC4,WSUDLCL2,NPC.CAS9,NPC.TAK,HUVEC,NCIH1694,MNEU.E,RMGI,HUES3,SW948,SW480,NKDBA,OV7,RMUGS,NCIH1836,SNUC5,HS27A
Merimepodib,-0.65539112,-0.41255354,NA,-0.44405613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seliciclib,NA,-0.36358519,-0.36945094,-0.33206904,NA,NA,-0.48846183,NA,NA,NA,NA,-0.65002871,-0.33113436,-0.42709165,NA,-0.40426598,-0.37518115,NA,NA,-0.32126361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.32868801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neratinib,NA,-0.31650095,NA,NA,NA,-0.63630633,NA,NA,NA,NA,NA,-0.3285443,NA,-0.48180194,NA,NA,NA,-0.33884617,NA,NA,NA,-0.45101084,NA,NA,-0.50236893,-0.33420264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.35795169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.41496449,NA,NA,NA,NA,NA,NA,NA
Fenretinide,NA,NA,NA,-0.37362569,NA,NA,-0.39475526,NA,-0.61825604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tozasertib,NA,-0.33081622,NA,-0.46772704,NA,-0.36491781,-0.34520356,NA,NA,NA,NA,-0.32225811,-0.442496,-0.32768259,NA,NA,NA,-0.36870634,NA,NA,NA,NA,NA,-0.61817689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.31801913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.44893357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.42894617,NA
Pimobendan,-0.60491604,NA,-0.33822087,-0.38614986,NA,NA,-0.35745588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Decitabine,-0.43118047,-0.50847862,NA,-0.40758177,NA,NA,-0.60485443,NA,NA,NA,NA,NA,NA,NA,NA,-0.36501353,NA,NA,NA,-0.46729044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.33982867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.39160501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.31912062,-0.43283656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Defactinib,-0.59036523,NA,NA,NA,NA,-0.4246535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ibrutinib (PCI-32765),-0.3573987,NA,NA,NA,NA,-0.58973457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dabrafenib,-0.35968472,NA,NA,NA,NA,-0.51222068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.47904499,-0.35979125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.31433734,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.39385754,-0.62070924,-0.58759325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.39176969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
