compound,num_concordant,num_discordant,ratio,mechanism,RMGI,EFO27,RMUGS,HA1E,SNGM,HEPG2,NPC,SKB,VCAP,SKLU1,COV644,HEC108,MCF7,A375,HCC515,MDAMB231,LNCAP,BT20,MCF10A,HME1,ASC,SKBR3,HT29,PC3,HS578T,SW620,SW480,CORL23,OV7,THP1,A549,HCT116,LOVO,CD34,NOMO1,PHH,NPC.TAK,HUVEC,HEK293T,RKO,PL21,ASC.C,SKL,HELA,SW948,SNU1040,TYKNU,NCIH1694,AGS,HUH7,DV90,SKMEL1,U937,T3M10,YAPC,NCIH2073,MDST8,NKDBA,NEU,HL60,SNUC4,U266,HUES3,SKL.C,HCC15,A673,WSUDLCL2,SNUC5,SKMEL28,NCIH1836,NPC.CAS9,H1299,JHUEM2,FIBRNPC,NCIH508,NCIH596,SKM1,MNEU.E,JURKAT,HT115,CL34,HS27A
Dorsomorphin,1,11,0.09090909,AMPK inhibitor,-0.73560158,-0.52831721,-0.6363555,-0.55649137,-0.4357593,NA,0.39138434,NA,NA,NA,NA,-0.44429354,NA,-0.4525223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.54455286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4166204,NA,NA,NA,-0.41591195,NA,NA,NA,-0.5589516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wortmannin,10,15,0.66666667,PI3K inhibitor,-0.41680225,NA,NA,-0.72651604,-0.41936526,0.62779959,0.42962351,-0.39025633,-0.4432626,NA,NA,0.39477823,0.53140143,-0.58476908,-0.47838603,NA,NA,NA,NA,NA,-0.54298246,NA,0.56652043,-0.47014691,NA,NA,NA,0.45383144,NA,NA,-0.55870215,NA,NA,NA,0.36865206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.36751466,NA,0.60446899,-0.33249103,0.57721167,NA,NA,NA,NA,-0.47322425,-0.4695305,NA,NA,NA,NA,NA,NA,NA,NA,-0.59702672,NA,NA,NA,NA,0.3969508,NA,NA,NA,NA,NA,NA,NA,NA
Thiostrepton,4,4,1,FOXM1 inhibitor|Protein synthesis inhibitor,NA,NA,NA,-0.69766361,NA,NA,NA,0.43589579,0.35298088,NA,NA,NA,-0.39973063,NA,NA,NA,NA,NA,NA,NA,0.51897594,NA,NA,-0.38792746,NA,NA,NA,NA,NA,NA,-0.37402135,NA,NA,NA,NA,0.36380227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pevonedistat,7,5,1.4,Nedd activating enzyme inhibitor,NA,-0.68913449,NA,0.36450412,-0.40511442,NA,NA,NA,NA,-0.50629948,0.64029628,NA,0.41342422,0.36602374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.35439559,NA,NA,NA,NA,-0.33374264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35268497,NA,NA,NA,0.32358337,0.40100839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trichostatin A, Streptomyces Sp.",5,20,0.25,CDK expression enhancer|HDAC inhibitor|ID1 expression inhibitor,-0.54908875,-0.59759866,NA,-0.68337299,-0.40273718,-0.44129602,NA,NA,0.42780899,-0.57387311,NA,-0.49674413,0.49416348,-0.4641138,-0.48019861,NA,NA,NA,NA,NA,0.44470868,NA,0.44772104,-0.55537181,NA,NA,NA,-0.42121057,NA,NA,-0.56101021,NA,NA,NA,NA,-0.52811354,NA,NA,-0.37179567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.34158071,NA,NA,-0.34546891,-0.35399969,NA,NA,NA,0.35974272,NA,NA,-0.32774391,NA,NA,NA,NA,NA,NA,-0.40597599,NA,NA,NA,NA,NA,NA,-0.42902907,NA,NA,NA
"Ridaforolimus (Deforolimus, MK-8669)",3,1,3,mTOR inhibitor,NA,NA,NA,-0.65964483,NA,NA,NA,NA,NA,NA,NA,NA,0.38619991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36369038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44248984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Linifanib,2,9,0.22222222,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,NA,NA,NA,-0.64964203,NA,NA,NA,NA,NA,NA,NA,NA,-0.40194693,-0.46953728,NA,-0.41080402,NA,0.63224852,-0.34639001,NA,NA,-0.4518576,-0.42558001,-0.41833317,0.38042586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.38702244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vorinostat,10,23,0.43478261,Histone deacetylase 1 inhibitor|Histone deacetylase 3 inhibitor|Histone deacetylase 6 inhibitor|Histone deacetylase 2 inhibitor,-0.52542755,-0.64817143,-0.33893608,-0.6146766,-0.33838628,0.49955284,-0.38467306,-0.33872382,0.42312823,-0.62448019,NA,-0.56628423,0.66604628,-0.41712981,0.39181292,NA,NA,NA,NA,NA,0.53704871,NA,-0.5914209,-0.49978958,NA,NA,NA,-0.39802082,NA,NA,0.56749599,-0.35681236,NA,NA,-0.38198356,-0.54084375,NA,-0.39618208,-0.42878362,NA,NA,0.64233583,NA,NA,NA,NA,NA,-0.59319478,NA,NA,NA,NA,NA,-0.44761496,NA,NA,-0.3359407,0.44108979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35549977,-0.43590697,NA,-0.36770745,NA,0.52435706,NA,NA,NA,NA,NA,NA
Anacardic acid,2,2,1,Glyceraldehyde 3-phosphate dehydrogenase inhibitor,NA,NA,NA,-0.38740268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.50364399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3210768,NA,NA,NA,NA,NA,NA,NA,-0.64477625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sirolimus,17,9,1.88888889,FK506-binding protein 1A inhibitor,NA,NA,NA,-0.63847815,NA,0.49361607,NA,NA,NA,NA,NA,-0.48501759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.41083358,NA,NA,NA,NA,NA,NA,-0.53549564,NA,NA,NA,-0.4045158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
