region,cellline,time,concentration,n
AI,A375,24h,0.04uM,22
AI,A375,24h,0.12uM,20
AI,A375,24h,0.1uM,1
AI,A375,24h,0.37uM,32
AI,A375,24h,1.11uM,31
AI,A375,24h,100uM,2
AI,A375,24h,10uM,92
AI,A375,24h,1uM,1
AI,A375,24h,3.33uM,43
AI,A375,24h,3.73uM,1
AI,A375,24h,30uM,1
AI,A375,24h,3uM,1
AI,A375,24h,40uM,1
AI,A375,24h,5uM,1
AI,A375,24h,70uM,1
AI,A375,24h,80uM,3
AI,A375,6h,0.5uM,2
AI,A375,6h,10uM,93
AI,A375,6h,3uM,1
AI,A549,24h,0.001uM,4
AI,A549,24h,0.01uM,3
AI,A549,24h,0.04uM,4
AI,A549,24h,0.12uM,9
AI,A549,24h,0.37uM,6
AI,A549,24h,0.5uM,3
AI,A549,24h,1.11uM,4
AI,A549,24h,100uM,1
AI,A549,24h,10uM,77
AI,A549,24h,1uM,3
AI,A549,24h,3.33uM,7
AI,A549,24h,3.7uM,1
AI,A549,24h,40uM,1
AI,A549,24h,70uM,1
AI,A549,24h,80uM,1
AI,A549,6h,0.001uM,3
AI,A549,6h,0.01uM,1
AI,A549,6h,0.1uM,4
AI,A549,6h,0.5uM,3
AI,A549,6h,10uM,57
AI,A549,6h,1uM,4
AI,A549,6h,3uM,2
AI,A549,6h,40uM,1
AI,A673,6h,100uM,2
AI,A673,6h,10uM,7
AI,AGS,6h,100uM,1
AI,AGS,6h,10uM,16
AI,AGS,6h,80uM,1
AI,ASC,24h,0.04uM,2
AI,ASC,24h,1.11uM,4
AI,ASC,24h,10uM,36
AI,ASC,24h,3.33uM,2
AI,ASC.C,24h,0.04uM,3
AI,ASC.C,24h,0.12uM,2
AI,ASC.C,24h,0.37uM,1
AI,ASC.C,24h,1.11uM,4
AI,ASC.C,24h,10uM,7
AI,ASC.C,24h,3.33uM,3
AI,BT20,24h,0.04uM,2
AI,BT20,24h,0.1uM,1
AI,BT20,24h,0.37uM,2
AI,BT20,24h,0.5uM,1
AI,BT20,24h,1.11uM,3
AI,BT20,24h,10uM,8
AI,BT20,24h,1uM,3
AI,BT20,24h,3.33uM,3
AI,BT20,3h,0.04uM,2
AI,BT20,3h,0.12uM,3
AI,BT20,3h,1.11uM,3
AI,BT20,3h,10uM,2
AI,BT20,3h,3.33uM,2
AI,BT20,6h,0.1uM,1
AI,BT20,6h,0.5uM,3
AI,BT20,6h,10uM,3
AI,BT20,6h,1uM,2
AI,CD34,24h,0.04uM,3
AI,CD34,24h,0.12uM,2
AI,CD34,24h,0.37uM,4
AI,CD34,24h,0.5uM,1
AI,CD34,24h,1.11uM,1
AI,CD34,24h,10uM,4
AI,CD34,24h,1uM,1
AI,CD34,24h,3.33uM,2
AI,CD34,24h,3uM,1
AI,CD34,6h,10uM,2
AI,CD34,6h,1uM,2
AI,CD34,6h,3uM,1
AI,CL34,6h,10uM,6
AI,CL34,6h,80uM,1
AI,CORL23,6h,10uM,6
AI,COV644,6h,10uM,7
AI,DV90,6h,10uM,5
