SYMBOL,logFC,logCPM,F,PValue,FDR
MAP3K3,-39.23568959447356,6.843640763581428,22566.35840831661,1.682525142766714e-59,8.962640789430605e-56
ALG11,-31.823657046082452,9.243774170517508,22035.265546140738,2.786457574826863e-59,8.962640789430605e-56
SLC25A53,-42.12344568866047,5.853833835664938,21153.822709821357,6.615711785449145e-59,1.1045360569080365e-55
MED13L,-29.541476915252925,10.084420891977523,21116.48542738284,6.8679375526692765e-59,1.1045360569080365e-55
ZNF550,-40.20245252178399,6.532444149252906,20619.244899497233,1.1376527694119515e-58,1.4637040531254167e-55
ZNF439,-38.12117363906996,7.215183294528229,20283.461804906576,1.6107470614661313e-58,1.7269893077352704e-55
C11orf1,-41.02980338101357,6.216844471200432,20008.105118585045,2.151503351916581e-58,1.977231580411338e-55
CCDC127,-36.12084902697664,7.941309299463503,19215.86446726101,5.0618547380304e-58,4.070363941218696e-55
BCDIN3D,-41.96341892549168,5.869087992390492,18998.346559329453,6.441755337806857e-58,4.185768511316656e-55
ZFP82,-37.66502153476899,7.311587507457812,18903.917859526966,7.15858176536024e-58,4.185768511316656e-55
PGBD4,-36.16950574427569,7.879256316091774,18881.13637187511,7.34372155064018e-58,4.185768511316656e-55
HAUS3,-35.80408804971457,8.018364384656453,18783.935911409295,8.191819745160918e-58,4.185768511316656e-55
MRPS25,-35.222177718789,8.159525613934733,18755.514946310734,8.458726977633533e-58,4.185768511316656e-55
WDR61,-37.33724322533343,7.495266964922151,18275.02781002315,1.4654029126817888e-57,6.731055644642615e-55
TSPY26P,-41.74641783465867,6.145721964633977,18153.850112162214,1.6870701190004097e-57,6.731055644642615e-55
KAT6B,-31.20566545677046,9.482988323548975,18139.60917664457,1.7153365899710123e-57,6.731055644642615e-55
VHL,-34.070466097093906,8.519795253577051,18108.528033996023,1.7787648990972245e-57,6.731055644642615e-55
CNPY2,-37.1041702542388,7.564731032901801,17821.438825737496,2.494967377215442e-57,8.465549072395738e-55
ILKAP,-37.7945598234953,7.294739630100968,17819.63582054918,2.5003176181489045e-57,8.465549072395738e-55
CA13,-42.16541784584648,5.912847871651794,17584.122682592395,3.313821094799577e-57,1.0658905551422839e-54
MED9,-36.919233904898256,7.56203104760723,17541.002594338122,3.490632255992645e-57,1.0692970144190803e-54
PARD6B,-39.638771136318255,6.672103149503562,17490.31702097196,3.7111700618076474e-57,1.085179863982209e-54
CMC2,-36.05710402734201,7.876481586744735,17425.45034545249,4.014895494870522e-57,1.1229488138479161e-54
ZNF543,-39.294940036742304,6.833128895240181,16911.90806510979,7.563226782644576e-57,2.0272599121980232e-54
ZNF284,-41.403813343891855,6.07821639012944,16802.087213804363,8.681672494141863e-57,2.225599957823749e-54
SMIM12,-37.121763888407315,7.5996481310353925,16773.959811911467,8.995118747616582e-57,2.225599957823749e-54
LLPH,-37.065161992502496,7.61082605036434,16643.463175266395,1.0612310209300635e-56,2.528481169497444e-54
ZNF558,-39.459005435578526,6.797866540932864,16578.87227492966,1.1522793097650531e-56,2.64736171418521e-54
PPP1R3E,-39.547437442255216,6.735985895813927,16543.948487417845,1.2048812312705644e-56,2.6727589519874276e-54
ZNF629,-39.37592751947684,6.910531582593847,16478.519771856594,1.3103109693166605e-56,2.8097434885380255e-54
LAMC1,-37.175005590356186,7.586684685707516,16001.01104734601,2.4417386252414006e-56,5.0670014761864295e-54
WDR70,-37.56207421665853,7.413599407810073,15875.71902525903,2.8837782766369666e-56,5.797295516751752e-54
ZNF549,-37.78057977983742,7.2797274447982,15844.512075096805,3.0064160834528705e-56,5.86068929237949e-54
GPATCH1,-39.94482500826117,6.673332935112783,15795.804334208991,3.2088595567375384e-56,6.071351037791937e-54
TRAPPC5,-39.302393548843675,6.842212608748149,15717.238582599352,3.566032282940177e-56,6.554367336044046e-54
DELE1,-37.767805911280306,7.295419169056617,15545.988700705959,4.496638019257215e-56,7.854923723172872e-54
