SYMBOL,logFC,logCPM,F,PValue,FDR
MRPS25,-11.695165659123248,8.250539497957266,10323.327485672107,3.617653328958398e-52,1.3974129090803293e-48
HAUS3,-11.847585118135271,7.987144522109747,10252.9606876347,4.178241617821286e-52,1.3974129090803293e-48
CMC2,-12.082639383424434,7.859592754210199,10021.162266817351,6.76339140748099e-52,1.5080108374880115e-48
PIGM,-13.486779374086122,6.3706771226819106,9475.287561335761,2.2000299863211846e-51,3.6790001446256006e-48
MAP3K3,-13.123592463059966,6.8218085373191615,9075.594259259104,5.451349808395433e-51,7.29281577367141e-48
CRIPT,-11.3869633441969,8.59587121570252,8900.747300011224,8.210247348287725e-51,9.153057418782765e-48
DELE1,-12.677194970919917,7.294354135214625,8425.962381971158,2.6027436202910674e-50,2.487107439446707e-47
MED9,-12.329554282677677,7.694068674263346,8067.056032950216,6.504682441099235e-50,5.284597114647862e-47
ZNF558,-12.97263825402509,6.81644312261101,7990.52947136294,7.94913315414195e-50,5.284597114647862e-47
SMIM7,-12.448112361965823,7.380355966336596,7983.989946499486,8.087247745501929e-50,5.284597114647862e-47
PDE12,-11.820279780703911,8.034006150137925,7943.538165786438,8.999368056592145e-50,5.284597114647862e-47
ZNF616,-13.197913382960708,6.484423880441191,7906.752153442301,9.92252136644646e-50,5.284597114647862e-47
ZNF439,-12.683392257585675,7.265031251177839,7875.673153647257,1.0779678198089536e-49,5.284597114647862e-47
ZSWIM5,-13.291534030527448,6.629803384714772,7866.047896332863,1.1060600927652873e-49,5.284597114647862e-47
ZNF234,-13.072815182726005,6.8232976913122085,7776.648958180632,1.4067176230094505e-49,5.991226399223256e-47
ZNF546,-12.650810042429704,7.38177489847049,7769.784657743783,1.4330934726801032e-49,5.991226399223256e-47
HNRNPL,-10.902072504501309,8.943500330528035,7730.753744130697,1.5932452010048952e-49,6.090843674787042e-47
CA13,-14.25995442594186,5.733361023067949,7720.3469435819725,1.6390370181815933e-49,6.090843674787042e-47
ZNF543,-13.121626660843877,6.862501854983341,7656.459455693498,1.9520899447073425e-49,6.872384021130217e-47
GATAD1,-11.801855365895195,8.197812856957976,7522.175184156819,2.8322489234369708e-49,9.47245652443495e-47
DCP1A,-12.665293785316763,7.232013448261771,7163.520324837063,7.912479832313435e-49,2.513484053278457e-46
