sheet,count,region,percentage,comparison,species
UpConcordant,8601,AI,L1000_10%,Females,Human
UpDiscordant,5736,AI,L1000_10%,Females,Human
DownDiscordant,8783,AI,L1000_10%,Females,Human
DownConcordant,5554,AI,L1000_10%,Females,Human
UpConcordant,8810,AI,L1000_10%,Males_Meds,Human
UpDiscordant,5527,AI,L1000_10%,Males_Meds,Human
DownDiscordant,6616,AI,L1000_10%,Males_Meds,Human
DownConcordant,7721,AI,L1000_10%,Males_Meds,Human
UpConcordant,7724,AI,L1000_10%,Males,Human
UpDiscordant,6613,AI,L1000_10%,Males,Human
DownDiscordant,6993,AI,L1000_10%,Males,Human
DownConcordant,7344,AI,L1000_10%,Males,Human
UpConcordant,7997,AI,L1000_10%,Overall,Human
UpDiscordant,6340,AI,L1000_10%,Overall,Human
DownConcordant,6483,AI,L1000_10%,Overall,Human
DownDiscordant,7854,AI,L1000_10%,Overall,Human
UpConcordant,4237,AI,L1000_25%,Females,Human
UpDiscordant,3738,AI,L1000_25%,Females,Human
DownDiscordant,2874,AI,L1000_25%,Females,Human
DownConcordant,2339,AI,L1000_25%,Females,Human
UpConcordant,8888,AI,L1000_25%,Males_Meds,Human
UpDiscordant,2881,AI,L1000_25%,Males_Meds,Human
DownConcordant,1831,AI,L1000_25%,Males_Meds,Human
DownDiscordant,3390,AI,L1000_25%,Males_Meds,Human
UpConcordant,3170,AI,L1000_25%,Males,Human
UpDiscordant,1427,AI,L1000_25%,Males,Human
DownConcordant,3712,AI,L1000_25%,Males,Human
DownDiscordant,1256,AI,L1000_25%,Males,Human
UpConcordant,4833,AI,L1000_25%,Overall,Human
UpDiscordant,1207,AI,L1000_25%,Overall,Human
DownDiscordant,2135,AI,L1000_25%,Overall,Human
DownConcordant,2137,AI,L1000_25%,Overall,Human
UpConcordant,9116,AI,L1000_5%,Females,Human
UpDiscordant,5221,AI,L1000_5%,Females,Human
DownDiscordant,5997,AI,L1000_5%,Females,Human
DownConcordant,8340,AI,L1000_5%,Females,Human
UpConcordant,6629,AI,L1000_5%,Males_Meds,Human
UpDiscordant,7708,AI,L1000_5%,Males_Meds,Human
DownConcordant,7641,AI,L1000_5%,Males_Meds,Human
DownDiscordant,6696,AI,L1000_5%,Males_Meds,Human
UpConcordant,7663,AI,L1000_5%,Males,Human
UpDiscordant,6674,AI,L1000_5%,Males,Human
DownConcordant,9393,AI,L1000_5%,Males,Human
DownDiscordant,4944,AI,L1000_5%,Males,Human
UpConcordant,7586,AI,L1000_5%,Overall,Human
UpDiscordant,6034,AI,L1000_5%,Overall,Human
DownConcordant,6437,AI,L1000_5%,Overall,Human
DownDiscordant,7900,AI,L1000_5%,Overall,Human
UpConcordant,2471,AI,L1000_50%,Females,Human
UpDiscordant,1634,AI,L1000_50%,Females,Human
DownDiscordant,8865,AI,L1000_50%,Females,Human
DownConcordant,1076,AI,L1000_50%,Females,Human
UpConcordant,6571,AI,L1000_50%,Males_Meds,Human
UpDiscordant,1321,AI,L1000_50%,Males_Meds,Human
DownDiscordant,1977,AI,L1000_50%,Males_Meds,Human
DownConcordant,689,AI,L1000_50%,Males_Meds,Human
UpConcordant,2276,AI,L1000_50%,Males,Human
UpDiscordant,628,AI,L1000_50%,Males,Human
DownDiscordant,1132,AI,L1000_50%,Males,Human
DownConcordant,150,AI,L1000_50%,Males,Human
UpConcordant,3096,AI,L1000_50%,Overall,Human
UpDiscordant,478,AI,L1000_50%,Overall,Human
DownDiscordant,5824,AI,L1000_50%,Overall,Human
DownConcordant,666,AI,L1000_50%,Overall,Human
Discordant,4624,AI,100%,NA,Human
Concordant,301,AI,100%,NA,Human
Concordant,2178,AI,100%,NA,Human
Discordant,318,AI,100%,NA,Human
Discordant,168,AI,100%,NA,Human
Concordant,159,AI,100%,NA,Human
Discordant,2058,AI,100%,NA,Human
Concordant,226,AI,100%,NA,Human
UpConcordant,8606,CG,L1000_10%,Females,Human
UpDiscordant,5731,CG,L1000_10%,Females,Human
DownDiscordant,11853,CG,L1000_10%,Females,Human
DownConcordant,2484,CG,L1000_10%,Females,Human
UpConcordant,7740,CG,L1000_10%,Males_Meds,Human
UpDiscordant,6597,CG,L1000_10%,Males_Meds,Human
DownDiscordant,5493,CG,L1000_10%,Males_Meds,Human
DownConcordant,8844,CG,L1000_10%,Males_Meds,Human
UpConcordant,8810,CG,L1000_10%,Males,Human
UpDiscordant,5527,CG,L1000_10%,Males,Human
DownDiscordant,6616,CG,L1000_10%,Males,Human
